chembl_id,drug_names,smiles,entity_types,entity_ids,max_phase,statuses,is_known_from_kg,n_entities,norm_drug_names,overlap_name_with_known,filter_reason
CHEMBL1103,FURAZOLIDONE,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,moa,DNA inhibitor,,,False,1,furazolidone,False,
CHEMBL1129,TRIFLURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,moa,DNA inhibitor,,,False,1,trifluridine,False,
CHEMBL1130,DOXIFLURIDINE,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,moa,DNA disrupting agent,,,False,1,doxifluridine,False,
CHEMBL1131,ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,protein|pathway,RARG|RARA|RARB|R-HSA-383280|R-HSA-5362517|R-HSA-5617472|R-HSA-9616222|R-HSA-4090294|R-HSA-9839394,4.0,"Active, not recruiting|Unknown status|Completed",False,9,acitretin,False,
CHEMBL11359,CISPLATIN,,moa,DNA inhibitor,,,False,1,cisplatin,False,
CHEMBL1159650,CLOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,clobetasol propionate,False,
CHEMBL1161,MOMETASONE FUROATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,moa,Glucocorticoid receptor agonist,,,False,1,mometasone furoate,False,
CHEMBL1169,AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,moa,Dihydrofolate reductase inhibitor,,,False,1,aminosalicylic acid,False,
CHEMBL1171837,PONATINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,protein|pathway,ABL1|BCR|R-HSA-2029482|R-HSA-428890|R-HSA-525793|R-HSA-5663213|R-HSA-5685938|R-HSA-5693565|R-HSA-69231|R-HSA-8939236|R-HSA-8940973|R-HSA-9664422|R-HSA-983231|R-HSA-9841922|R-HSA-9860927|R-HSA-1839117|R-HSA-5654736|R-HSA-8980692|R-HSA-9013026|R-HSA-9013106|R-HSA-9013148|R-HSA-9013149|R-HSA-9013404|R-HSA-9013423,3.0,"Active, not recruiting|Recruiting",False,24,ponatinib,False,
CHEMBL118218,IROFULVEN,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,moa,DNA inhibitor,,,False,1,irofulven,False,
CHEMBL1186894,AMRUBICIN,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,protein|pathway|moa,TOP2A|R-HSA-1362277|R-HSA-4615885|DNA topoisomerase II alpha inhibitor,3.0,,False,4,amrubicin,False,
CHEMBL1200342,PARAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,paramethasone,False,
CHEMBL1200376,BETAMETHASONE BENZOATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,moa,Glucocorticoid receptor agonist,,,False,1,betamethasone benzoate,False,
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,betamethasone dipropionate,False,
CHEMBL1200386,PREDNICARBATE,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,prednicarbate,False,
CHEMBL1200400,AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],moa,Amidophosphoribosyltransferase inhibitor|DNA inhibitor,,,False,2,azathioprine,False,
CHEMBL1200410,PROCARBAZINE HYDROCHLORIDE,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl,moa,DNA inhibitor,,,False,1,procarbazine,False,
CHEMBL1200449,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,triamcinolone diacetate,False,
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,beclomethasone dipropionate,False,
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,betamethasone,False,
CHEMBL1200545,DIFLORASONE DIACETATE,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,diflorasone diacetate,False,
CHEMBL1200561,DOXAZOSIN MESYLATE,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,moa,Adrenergic receptor alpha-1 antagonist,,,False,1,doxazosin,False,
CHEMBL1200562,HYDROCORTISONE VALERATE,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,hydrocortisone valerate,False,
CHEMBL1200582,AMINOLEVULINIC ACID HYDROCHLORIDE,Cl.NCC(=O)CCC(=O)O,moa,DNA inhibitor,,,False,1,aminolevulinic acid,False,
CHEMBL1200584,AMINOSALICYLATE POTASSIUM,Nc1ccc(C(=O)[O-])c(O)c1.[K+],moa,Dihydrofolate reductase inhibitor,,,False,1,aminosalicylate,False,
CHEMBL1200596,CHLOROXINE,Oc1c(Cl)cc(Cl)c2cccnc12,moa,DNA inhibitor,,,False,1,chloroxine,False,
CHEMBL1200600,FLUOROMETHOLONE,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,fluorometholone,False,
CHEMBL1200617,RIMEXOLONE,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,rimexolone,False,
CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl,moa,Glucocorticoid receptor agonist,,,False,1,hydrocortamate,False,
CHEMBL1200721,ESTRAMUSTINE PHOSPHATE SODIUM,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-].[Na+].[Na+],moa,DNA inhibitor,,,False,1,estramustine,False,
CHEMBL1200732,AMCINONIDE,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,moa,Glucocorticoid receptor agonist,,,False,1,amcinonide,False,
CHEMBL1200762,BETAMETHASONE SODIUM PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],moa,Glucocorticoid receptor agonist,,,False,1,betamethasone,False,
CHEMBL1200774,FLUPREDNISOLONE,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,moa,Glucocorticoid receptor agonist,,,False,1,fluprednisolone,False,
CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,moa,Opioid receptors; mu/kappa/delta agonist,,,False,1,oxymorphone,False,
CHEMBL1200796,CYCLOPHOSPHAMIDE,O.O=P1(N(CCCl)CCCl)NCCCO1,moa,DNA inhibitor,,,False,1,cyclophosphamide,False,
CHEMBL1200845,HALCINONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,moa,Glucocorticoid receptor agonist,,,False,1,halcinonide,False,
CHEMBL1200863,MELPHALAN HYDROCHLORIDE,Cl.N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,moa,DNA inhibitor,,,False,1,melphalan,False,
CHEMBL1200865,LOTEPREDNOL ETABONATE,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,loteprednol etabonate,False,
CHEMBL1200869,METRONIDAZOLE HYDROCHLORIDE,Cc1ncc([N+](=O)[O-])n1CCO.Cl,moa,DNA inhibitor,,,False,1,metronidazole,False,
CHEMBL1200877,FLUMETHASONE PIVALATE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,moa,Glucocorticoid receptor agonist,,,False,1,flumethasone pivalate,False,
CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,moa,Glucocorticoid receptor agonist,,,False,1,triamcinolone hexacetonide,False,
CHEMBL1200908,HALOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,halobetasol propionate,False,
CHEMBL1200909,PREDNISOLONE TEBUTATE,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,prednisolone tebutate,False,
CHEMBL1200914,TAMSULOSIN HYDROCHLORIDE,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl,moa,Adrenergic receptor alpha-1 antagonist,,,False,1,tamsulosin,False,
CHEMBL1200948,TRIMIPRAMINE MALEATE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,moa,Adrenergic receptor alpha-1 antagonist,,,False,1,trimipramine,False,
CHEMBL1200953,HYDROCORTISONE PROBUTATE,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,hydrocortisone probutate,False,
CHEMBL1200975,CLOCORTOLONE PIVALATE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,moa,Glucocorticoid receptor agonist,,,False,1,clocortolone pivalate,False,
CHEMBL1200981,EPIRUBICIN HYDROCHLORIDE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1.Cl,moa,DNA inhibitor,,,False,1,epirubicin,False,
CHEMBL1200983,GALLIUM NITRATE,,moa,Ribonucleoside-diphosphate reductase RR1 inhibitor,,,False,1,gallium,False,
CHEMBL1200989,ALCLOMETASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,moa,Glucocorticoid receptor agonist,,,False,1,alclometasone dipropionate,False,
CHEMBL1201000,NITROFURANTOIN SODIUM,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],moa,DNA inhibitor,,,False,1,nitrofurantoin,False,
CHEMBL1201001,MECHLORETHAMINE HYDROCHLORIDE,CN(CCCl)CCCl.Cl,moa,DNA inhibitor,,,False,1,mechlorethamine,False,
CHEMBL1201002,CARTEOLOL HYDROCHLORIDE,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,moa,Adrenergic receptor beta antagonist,,,False,1,carteolol,False,
CHEMBL1201012,FLURANDRENOLIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,moa,Glucocorticoid receptor agonist,,,False,1,flurandrenolide,False,
CHEMBL1201059,PROGUANIL HYDROCHLORIDE,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl,moa,Dihydrofolate reductase inhibitor,,,False,1,proguanil,False,
CHEMBL1201064,FLUOROMETHOLONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,fluorometholone,False,
CHEMBL1201080,TRIMETHOPRIM HYDROCHLORIDE,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cl,moa,Bacterial dihydrofolate reductase inhibitor,,,False,1,trimethoprim,False,
CHEMBL1201093,METHYL AMINOLEVULINATE HYDROCHLORIDE,COC(=O)CCC(=O)CN.Cl,moa,DNA inhibitor,,,False,1,methyl aminolevulinate,False,
CHEMBL1201104,METHENAMINE HIPPURATE,C1N2CN3CN1CN(C2)C3.O=C(O)CNC(=O)c1ccccc1,moa,DNA inhibitor,,,False,1,methenamine hippurate,False,
CHEMBL1201109,DESONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,moa,Glucocorticoid receptor agonist,,,False,1,desonide,False,
CHEMBL1201112,NELARABINE,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,moa,DNA inhibitor,,,False,1,nelarabine,False,
CHEMBL1201148,MEPREDNISONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,moa,Glucocorticoid receptor agonist,,,False,1,meprednisone,False,
CHEMBL1201173,MEDRYSONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,moa,Glucocorticoid receptor agonist,,,False,1,medrysone,False,
CHEMBL1201179,LAPATINIB DITOSYLATE,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,moa,Epidermal growth factor receptor erbB1 inhibitor,,,False,1,lapatinib ditosylate,False,
CHEMBL1201463,CODEINE POLISTIREX,,moa,Opioid receptors; mu/kappa/delta agonist,,,False,1,codeine polistirex,False,
CHEMBL1201470,HYDROCODONE POLISTIREX,,moa,Opioid receptors; mu/kappa/delta agonist,,,False,1,hydrocodone polistirex,False,
CHEMBL1201481,PORFIMER SODIUM,,moa,DNA inhibitor,,,False,1,porfimer,False,
CHEMBL1201550,DENILEUKIN DIFTITOX,,moa,Elongation factor 2 inhibitor,,,False,1,denileukin diftitox,False,
CHEMBL1201556,BECAPLERMIN,,protein|pathway,PDGFRB|PDGFRA|R-HSA-1257604|R-HSA-186763|R-HSA-186797|R-HSA-2219530|R-HSA-5673001|R-HSA-6811558|R-HSA-9673767|R-HSA-9673770|R-HSA-9674396|R-HSA-9674401|R-HSA-9674403|R-HSA-9674404|R-HSA-9674428|R-HSA-2028269,4.0,,False,16,becaplermin,False,
CHEMBL1201566,DARBEPOETIN ALFA,,moa,Erythropoietin receptor agonist,,,False,1,darbepoetin alfa,False,
CHEMBL1201568,PEGFILGRASTIM,,protein|pathway|moa,CSF3R|R-HSA-449836|R-HSA-9616222|R-HSA-9674555|R-HSA-9705462|Granulocyte colony stimulating factor receptor agonist,4.0,,False,6,pegfilgrastim,False,
CHEMBL1201577,CETUXIMAB,,moa,Epidermal growth factor receptor erbB1 inhibitor,,,False,1,cetuximab,False,
CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,protein|pathway|moa,KIT|PDGFRB|KDR|FLT4|PDGFRA|R-HSA-1257604|R-HSA-186763|R-HSA-186797|R-HSA-2219530|R-HSA-5673001|R-HSA-6811558|R-HSA-5218921|R-HSA-9673767|R-HSA-9673770|R-HSA-9674396|R-HSA-9674401|R-HSA-9674403|R-HSA-9674404|R-HSA-9674428|R-HSA-1433557|R-HSA-9670439|R-HSA-4420097|R-HSA-1433559|R-HSA-8866910|R-HSA-9669914|R-HSA-9669917|R-HSA-9669921|R-HSA-9669924|R-HSA-9669926|R-HSA-9669929|R-HSA-9669933|R-HSA-9669934|R-HSA-9669935|R-HSA-9669936|R-HSA-9680187|R-HSA-9856649|R-HSA-195399|R-HSA-9013695|R-HSA-9856530|R-HSA-194306|R-HSA-216083|R-HSA-9673768|R-HSA-2028269|Macrophage colony stimulating factor receptor inhibitor|Platelet-derived growth factor receptor inhibitor|Stem cell growth factor receptor inhibitor|Vascular endothelial growth factor receptor inhibitor,4.0,,False,47,pazopanib,False,
CHEMBL1201734,BENDAMUSTINE HYDROCHLORIDE,Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,moa,DNA inhibitor,,,False,1,bendamustine,False,
CHEMBL1201740,NILOTINIB HYDROCHLORIDE MONOHYDRATE,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,protein|pathway|moa,ABL1|BCR|R-HSA-2029482|R-HSA-428890|R-HSA-525793|R-HSA-5663213|R-HSA-5685938|R-HSA-5693565|R-HSA-69231|R-HSA-8939236|R-HSA-8940973|R-HSA-9664422|R-HSA-983231|R-HSA-9841922|R-HSA-9860927|R-HSA-1839117|R-HSA-5654736|R-HSA-8980692|R-HSA-9013026|R-HSA-9013106|R-HSA-9013148|R-HSA-9013149|R-HSA-9013404|R-HSA-9013423|Bcr/Abl fusion protein inhibitor|Tyrosine-protein kinase ABL inhibitor,4.0,,False,26,nilotinib monohydrate,False,
CHEMBL1201746,PRALATREXATE,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,moa,Dihydrofolate reductase inhibitor,,,False,1,pralatrexate,False,
CHEMBL1201748,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,moa,Tubulin inhibitor,,,False,1,cabazitaxel,False,
CHEMBL1201749,DIFLUPREDNATE,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,moa,Glucocorticoid receptor agonist,,,False,1,difluprednate,False,
CHEMBL1201752,IXABEPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,moa,Tubulin inhibitor,,,False,1,ixabepilone,False,
CHEMBL1201827,PANITUMUMAB,,moa,Epidermal growth factor receptor erbB1 inhibitor,,,False,1,panitumumab,False,
