drug_name,chembl_id,mechanism_of_actions,smiles
TRV-120027,CHEMBL4297447,Type-1 angiotensin II receptor antagonist,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O
IRBESARTAN HYDROCHLORIDE,CHEMBL6068339,Type-1 angiotensin II receptor antagonist,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1.Cl
ILX23-7553,CHEMBL284121,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)CC#CC(C)(C)O)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CALCITRIOL,CHEMBL846,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
DP001,CHEMBL605525,Vitamin D receptor agonist,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@H]1O
PARICALCITOL,CHEMBL1200622,Vitamin D receptor agonist,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C
CALCIPOTRIENE,CHEMBL1200666,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
DOXERCALCIFEROL,CHEMBL1200810,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
BECOCALCIDIOL,CHEMBL2104955,Vitamin D receptor agonist,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CC)CC[C@@H]23)C[C@H]1O
INECALCITOL,CHEMBL2105107,Vitamin D receptor agonist,C[C@H](CC#CC(C)(C)O)[C@H]1CC[C@@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C
LUNACALCIPOL,CHEMBL2105705,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)C/C=C/S(=O)(=O)C(C)(C)C)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CALCIFEDIOL,CHEMBL3544909,Vitamin D receptor agonist,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12.O
LOVASTATIN,CHEMBL503,HMG-CoA reductase inhibitor,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CERIVASTATIN SODIUM,CHEMBL1200563,HMG-CoA reductase inhibitor,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
PITAVASTATIN CALCIUM,CHEMBL1237061,HMG-CoA reductase inhibitor,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]
ALFACALCIDOL,CHEMBL1601669,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
SEOCALCITOL,CHEMBL1908376,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/C=C/C(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
FLUVASTATIN SODIUM,CHEMBL2218894,HMG-CoA reductase inhibitor,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
DIHYDROTACHYSTEROL,CHEMBL2356023,Vitamin D receptor agonist,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C
ELOCALCITOL,CHEMBL3545094,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@@H](C)C/C=C/C(O)(CC)CC)=CCC23)C[C@@H](O)C[C@@H]1O
PEFCALCITOL,CHEMBL3989862,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O
ELDECALCITOL,CHEMBL4297608,Vitamin D receptor agonist,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)[C@@H](OCCCO)[C@@H]1O
PACLITAXEL,CHEMBL428647,Tubulin inhibitor,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
BIFONAZOLE,CHEMBL277535,HMG-CoA reductase inhibitor,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
PRAVASTATIN SODIUM,CHEMBL690,HMG-CoA reductase inhibitor,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
SIMVASTATIN,CHEMBL1064,HMG-CoA reductase inhibitor,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
ATORVASTATIN CALCIUM,CHEMBL393220,HMG-CoA reductase inhibitor,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
BRENTUXIMAB VEDOTIN,CHEMBL1742994,Tubulin inhibitor,
TRASTUZUMAB EMTANSINE,CHEMBL1743082,Tubulin inhibitor,
ROSUVASTATIN CALCIUM,CHEMBL1744447,HMG-CoA reductase inhibitor,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
PITAVASTATIN SODIUM,CHEMBL3989920,HMG-CoA reductase inhibitor,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Na+]
PITAVASTATIN MAGNESIUM,CHEMBL3989923,HMG-CoA reductase inhibitor,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Mg+2]
COLCHICINE,CHEMBL107,Tubulin inhibitor,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
GRISEOFULVIN,CHEMBL562,Tubulin inhibitor,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
MEBENDAZOLE,CHEMBL685,Tubulin inhibitor,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
VINBLASTINE SULFATE,CHEMBL378544,Tubulin inhibitor,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
VINCRISTINE SULFATE,CHEMBL501867,Tubulin inhibitor,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
VINORELBINE TARTRATE,CHEMBL538943,Tubulin inhibitor,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O
CABAZITAXEL,CHEMBL1201748,Tubulin inhibitor,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
IXABEPILONE,CHEMBL1201752,Tubulin inhibitor,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1
ERIBULIN MESYLATE,CHEMBL1683544,Tubulin inhibitor,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O
DOCETAXEL,CHEMBL3545252,Tubulin inhibitor,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O
THIABENDAZOLE,CHEMBL625,Tubulin inhibitor,c1ccc2[nH]c(-c3cscn3)nc2c1
FOSBRETABULIN DISODIUM,CHEMBL289351,Tubulin inhibitor,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)([O-])[O-].[Na+].[Na+]
INDIBULIN,CHEMBL49642,Tubulin inhibitor,O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12
ALBENDAZOLE,CHEMBL1483,Tubulin inhibitor,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
LEXIBULIN,CHEMBL552212,Tubulin inhibitor,CCC[C@H](Nc1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1
PLINABULIN,CHEMBL1096380,Tubulin inhibitor,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O
CROLIBULIN,CHEMBL2103852,Tubulin inhibitor,COc1cc([C@H]2C(C#N)=C(N)Oc3c2ccc(N)c3N)cc(Br)c1OC
VINFLUNINE,CHEMBL2110725,Tubulin inhibitor,CC[C@]12C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7C[C@@H](C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32
POLATUZUMAB VEDOTIN,CHEMBL3301582,Tubulin inhibitor,
MIRVETUXIMAB SORAVTANSINE,CHEMBL3545132,Tubulin inhibitor,
TELISOTUZUMAB VEDOTIN,CHEMBL3990032,Tubulin inhibitor,
PF-06263507,CHEMBL4297804,Tubulin inhibitor,
TISOTUMAB VEDOTIN,CHEMBL4297841,Tubulin inhibitor,
AZINTUXIZUMAB VEDOTIN,CHEMBL4297859,Tubulin inhibitor,
RG-7841,CHEMBL4297935,Tubulin inhibitor,
LIFASTUZUMAB VEDOTIN,CHEMBL4297938,Tubulin inhibitor,
ENAPOTAMAB VEDOTIN,CHEMBL4297987,Tubulin inhibitor,
INDUSATUMAB VEDOTIN,CHEMBL4298045,Tubulin inhibitor,
LADIRATUZUMAB VEDOTIN,CHEMBL4298101,Tubulin inhibitor,
BELANTAMAB MAFODOTIN,CHEMBL4298209,Tubulin inhibitor,
DOLASTATIN-10,CHEMBL39541,Tubulin inhibitor,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C
ANG1005,CHEMBL1089636,Tubulin inhibitor,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCCCC[C@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
GLEMBATUMUMAB VEDOTIN,CHEMBL1743028,Tubulin inhibitor,
RG-7600,CHEMBL2109281,Tubulin inhibitor,
RG-7636,CHEMBL2109282,Tubulin inhibitor,
ASG-5ME,CHEMBL2109574,Tubulin inhibitor,
PINATUZUMAB VEDOTIN,CHEMBL3301585,Tubulin inhibitor,
ENFORTUMAB VEDOTIN,CHEMBL3301589,Tubulin inhibitor,
TUSAMITAMAB RAVTANSINE,CHEMBL4298098,Tubulin inhibitor,
APRUTUMAB IXADOTIN,CHEMBL4650293,Tubulin inhibitor,
OXFENDAZOLE,CHEMBL42442,Tubulin inhibitor,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1
CANTUZUMAB MERTANSINE,CHEMBL1742997,Tubulin inhibitor,
LORVOTUZUMAB MERTANSINE,CHEMBL1743037,Tubulin inhibitor,
MILATAXEL,CHEMBL2107759,Tubulin inhibitor,CCC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)C2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](CC(=O)OC(C)(C)C)c4ccco4)C(C)=C([C@@H](O)C(=O)[C@@]21C)C3(C)C
BIVATUZUMAB MERTANSINE,CHEMBL2109288,Tubulin inhibitor,
TASIDOTIN,CHEMBL2111109,Tubulin inhibitor,CC(C)[C@H](NC(=O)[C@H](C(C)C)N(C)C)C(=O)N(C)[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NC(C)(C)C)C(C)C
SOFITUZUMAB VEDOTIN,CHEMBL3545372,Tubulin inhibitor,
VANDORTUZUMAB VEDOTIN,CHEMBL3833306,Tubulin inhibitor,
PRALUZATAMAB RAVTANSINE,CHEMBL4297736,Tubulin inhibitor,
ANVATABART OPADOTIN,CHEMBL4297892,Tubulin inhibitor,
OMBRABULIN,CHEMBL572284,Tubulin inhibitor,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO
CANTUZUMAB RAVTANSINE,CHEMBL1742998,Tubulin inhibitor,
VINFLUNINE DITARTRATE,CHEMBL2105629,Tubulin inhibitor,CC[C@]12C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7C[C@@H](C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O
AVE-9633,CHEMBL2109266,Tubulin inhibitor,
COLTUXIMAB RAVTANSINE,CHEMBL2109286,Tubulin inhibitor,
MLN-2704,CHEMBL2109556,Tubulin inhibitor,
IMGN-388,CHEMBL2109633,Tubulin inhibitor,
SOBLIDOTIN,CHEMBL3989512,Tubulin inhibitor,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C
PLOCABULIN,CHEMBL4297636,Tubulin inhibitor,C/C=C\C[C@@H](C/C=C\NC(=O)[C@@H](NC(=O)/C=C\C=C/C(C)=C/[C@H](C)[C@@H]1CC=C(OC)C(=O)O1)C(C)(C)C)OC(N)=O
LOSATUXIZUMAB VEDOTIN,CHEMBL4594515,Tubulin inhibitor,
INDATUXIMAB RAVTANSINE,CHEMBL1743031,Tubulin inhibitor,
VORSETUZUMAB MAFODOTIN,CHEMBL2108672,Tubulin inhibitor,
RG-7598,CHEMBL2109279,Tubulin inhibitor,
BIIB-015,CHEMBL2109575,Tubulin inhibitor,
ANETUMAB RAVTANSINE,CHEMBL2109629,Tubulin inhibitor,
SAR-566658,CHEMBL2109635,Tubulin inhibitor,
DENINTUZUMAB MAFODOTIN,CHEMBL3545371,Tubulin inhibitor,
DEPATUXIZUMAB MAFODOTIN,CHEMBL3707277,Tubulin inhibitor,
MECBOTAMAB VEDOTIN,CHEMBL5095312,Tubulin inhibitor,
TRASTUZUMAB BOTIDOTIN,CHEMBL5314782,Tubulin inhibitor,
BICALUTAMIDE,CHEMBL409,Androgen Receptor antagonist,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
FLUTAMIDE,CHEMBL806,Androgen Receptor antagonist,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
APC-100,CHEMBL37676,Androgen Receptor antagonist,Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2
CYPROTERONE ACETATE,CHEMBL139835,Androgen Receptor antagonist,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
NILUTAMIDE,CHEMBL1274,Androgen Receptor antagonist,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
ENZALUTAMIDE,CHEMBL1082407,Androgen Receptor antagonist,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
GALETERONE,CHEMBL2105738,Androgen Receptor antagonist,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12
APALUTAMIDE,CHEMBL3183409,Androgen Receptor antagonist,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F
CLASCOTERONE,CHEMBL3590187,Androgen Receptor antagonist,CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DAROLUTAMIDE,CHEMBL4297185,Androgen Receptor antagonist,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
AZD-7624,CHEMBL9960,MAP kinase p38 alpha inhibitor,CC[C@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1
ABIRATERONE,CHEMBL254328,Androgen Receptor antagonist,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12
AMG-548,CHEMBL585902,MAP kinase p38 alpha inhibitor,Cn1c(NC[C@@H](N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O
AZD-6703,CHEMBL2031465,MAP kinase p38 alpha inhibitor,Cc1ccc(C(=O)NC2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O
SEVITERONEL,CHEMBL3264610,Androgen Receptor antagonist,CC(C)[C@](O)(c1ccc2cc(OC(F)F)c(OC(F)F)cc2c1)c1c[nH]nn1
AVE-9940,CHEMBL3545117,MAP kinase p38 alpha inhibitor,
PEXMETINIB,CHEMBL3991932,MAP kinase p38 alpha inhibitor,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1
PRUXELUTAMIDE,CHEMBL4594417,Androgen Receptor antagonist,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2F)C(=S)N1c1ccc(CCCc2ncco2)nc1
REZVILUTAMIDE,CHEMBL4650276,Androgen Receptor antagonist,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1
DORAMAPIMOD,CHEMBL103667,MAP kinase p38 alpha inhibitor,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
RWJ-67657,CHEMBL190333,MAP kinase p38 alpha inhibitor | MAP kinase p38 beta inhibitor,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1
RO-3201195,CHEMBL203567,MAP kinase p38 alpha inhibitor,Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1
R-1487 HYDROCHLORIDE,CHEMBL1766582,MAP kinase p38 alpha inhibitor,Cl.Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21
PF-03715455,CHEMBL1938400,MAP kinase p38 alpha inhibitor,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1
