name,url,associated_proteins,associated_drugs
Regulation of TNFR1 signaling,,p(HGNC:TNF); p(HGNC:TBK1); p(HGNC:CHUK); p(HGNC:IKBKB),
TNFR1-induced NF-kappa-B signaling pathway,,p(HGNC:TNF); p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
IKBKB deficiency causes SCID,,p(HGNC:CHUK); p(HGNC:IKBKB),
IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),,p(HGNC:CHUK); p(HGNC:IKBKB),
IkBA variant leads to EDA-ID,,p(HGNC:CHUK); p(HGNC:IKBKB),
CLEC7A (Dectin-1) signaling,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
MAP3K8 (TPL2)-dependent MAPK1/3 activation,,p(HGNC:CHUK); p(HGNC:IKBKB),
Interleukin-1 signaling,,p(HGNC:IL1B); p(HGNC:IL1R1); p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
TRAF6 mediated NF-kB activation,,p(HGNC:CHUK); p(HGNC:IKBKB),
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,,p(HGNC:CHUK); p(HGNC:IKBKB),
IRAK1 recruits IKK complex,,p(HGNC:CHUK); p(HGNC:IKBKB),
IKK complex recruitment mediated by RIP1,,p(HGNC:CHUK); p(HGNC:IKBKB),
SARS-CoV-2 activates/modulates innate and adaptive immune responses,,p(HGNC:TLR7); p(HGNC:IFNAR1); p(HGNC:IL17A); p(HGNC:JAK1); p(HGNC:TYK2); p(HGNC:TBK1); p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,,p(HGNC:CHUK); p(HGNC:IKBKB),
Regulation of NF-kappa B signaling,,p(HGNC:CHUK); p(HGNC:IKBKB),
SLC15A4:TASL-dependent IRF5 activation,,p(HGNC:CHUK); p(HGNC:IKBKB),
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",,p(HGNC:PDE4D); p(HGNC:ABL1); p(HGNC:CHUK); p(HGNC:IKBKB),
Modulation of host responses by IFN-stimulated genes,,p(HGNC:CHUK); p(HGNC:IKBKB),
Interleukin-1 processing,,p(HGNC:IL1B),
Pyroptosis,,p(HGNC:IL1B),
CLEC7A/inflammasome pathway,,p(HGNC:IL1B),
Interleukin-10 signaling,,p(HGNC:TNF); p(HGNC:PTGS2); p(HGNC:CCR5); p(HGNC:CCR2); p(HGNC:IL1B); p(HGNC:IL1R1); p(HGNC:CSF2); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:IL10RB); p(HGNC:TYK2),
Purinergic signaling in leishmaniasis infection,,p(HGNC:IL1B),
Interleukin-6 signaling,,p(HGNC:IL6R); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
MAPK3 (ERK1) activation,,p(HGNC:IL6R); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
MAPK1 (ERK2) activation,,p(HGNC:IL6R); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Other interleukin signaling,,p(HGNC:JAK1); p(HGNC:IL10RB); p(HGNC:TYK2),
IL-6-type cytokine receptor ligand interactions,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Interleukin-20 family signaling,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:IL10RB); p(HGNC:TYK2),
Interleukin-35 Signalling,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Interleukin-12 signaling,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Interleukin-23 signaling,,p(HGNC:JAK2); p(HGNC:TYK2),
Interleukin-27 signaling,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Interferon alpha/beta signaling,,p(HGNC:IFNAR1); p(HGNC:JAK1); p(HGNC:TYK2),
Regulation of IFNA/IFNB signaling,,p(HGNC:IFNAR1); p(HGNC:JAK1); p(HGNC:TYK2),
Signaling by CSF3 (G-CSF),,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Inactivation of CSF3 (G-CSF) signaling,,p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2),
Signaling by ALK fusions and activated point mutants,,p(HGNC:TYK2),
Evasion by RSV of host interferon responses,,p(HGNC:IFNAR1); p(HGNC:JAK1); p(HGNC:TYK2),
AKT phosphorylates targets in the cytosol,,p(HGNC:GSK3B); p(HGNC:GSK3A); p(HGNC:CHUK),
XBP1(S) activates chaperone genes,,p(HGNC:GSK3A),
Constitutive Signaling by AKT1 E17K in Cancer,,p(HGNC:GSK3B); p(HGNC:GSK3A); p(HGNC:CHUK),
Suppression of apoptosis,,p(HGNC:GSK3A),
Maturation of nucleoprotein,,p(HGNC:SRPK2); p(HGNC:GSK3B); p(HGNC:SRPK1); p(HGNC:GSK3A),
COX reactions,,p(HGNC:PTGS1),
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),,p(HGNC:PTGS2); p(HGNC:PTGS1),
TRP channels,,p(HGNC:TRPV1),
DARPP-32 events,,p(HGNC:PDE4A); p(HGNC:PDE4B); p(HGNC:PDE4D),
G alpha (s) signalling events,,p(HGNC:PDE4A); p(HGNC:HRH2); p(HGNC:PDE4D),
Nuclear Receptor transcription pathway,,p(HGNC:NR3C1); p(HGNC:RARG); p(HGNC:VDR); p(HGNC:AR),
Signaling by Retinoic Acid,,p(HGNC:RARG),
Activation of anterior HOX genes in hindbrain development during early embryogenesis,,p(HGNC:RARG),
Nicotinamide salvaging,,p(HGNC:PTGS2),
Synthesis of 15-eicosatetraenoic acid derivatives,,p(HGNC:PTGS2),
Biosynthesis of DHA-derived SPMs,,p(HGNC:PTGS2),
Biosynthesis of EPA-derived SPMs,,p(HGNC:PTGS2),
Biosynthesis of DPAn-3 SPMs,,p(HGNC:PTGS2),
Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,,p(HGNC:PTGS2),
G alpha (q) signalling events,,p(HGNC:BTK); p(HGNC:ADRA1A); p(HGNC:AGTR1); p(HGNC:HRH1); p(HGNC:CYSLTR1),
G alpha (12/13) signalling events,,p(HGNC:BTK); p(HGNC:ADRA1A),
Binding and entry of HIV virion,,p(HGNC:CCR5),
Chemokine receptors bind chemokines,,p(HGNC:CCR5); p(HGNC:CCR2),
EPHB-mediated forward signaling,,p(HGNC:GRIN1),
"Unblocking of NMDA receptors, glutamate binding and activation",,p(HGNC:GRIN1),
Ras activation upon Ca2+ influx through NMDA receptor,,p(HGNC:GRIN1),
RAF/MAP kinase cascade,,p(HGNC:CSF2); p(HGNC:GRIN1); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:PDGFRB); p(HGNC:KIT),
Neurexins and neuroligins,,p(HGNC:GRIN1),
Synaptic adhesion-like molecules,,p(HGNC:GRIN1),
Negative regulation of NMDA receptor-mediated neuronal transmission,,p(HGNC:GRIN1),
Long-term potentiation,,p(HGNC:GRIN1),
Transcriptional regulation of granulopoiesis,,p(HGNC:IL6R),
Peptide ligand-binding receptors,,p(HGNC:C5); p(HGNC:OPRM1); p(HGNC:AGTR1),
Cargo recognition for clathrin-mediated endocytosis,,p(HGNC:AGTR1),
Clathrin-mediated endocytosis,,p(HGNC:AGTR1),
Interleukin-17 signaling,,p(HGNC:IL17A),
Dectin-1 mediated noncanonical NF-kB signaling,,p(HGNC:CHUK),
NIK-->noncanonical NF-kB signaling,,p(HGNC:CHUK),
Caspase activation via Death Receptors in the presence of ligand,,p(HGNC:FASLG),
Regulation by c-FLIP,,p(HGNC:FASLG),
RIPK1-mediated regulated necrosis,,p(HGNC:FASLG),
CASP8 activity is inhibited,,p(HGNC:FASLG),
Dimerization of procaspase-8,,p(HGNC:FASLG),
FasL/ CD95L signaling,,p(HGNC:FASLG),
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,,p(HGNC:FASLG),
FOXO-mediated transcription of cell death genes,,p(HGNC:FASLG),
Trafficking and processing of endosomal TLR,,p(HGNC:TLR9); p(HGNC:TLR7),
Toll Like Receptor 7/8 (TLR7/8) Cascade,,p(HGNC:TLR7),
Regulation of TLR by endogenous ligand,,p(HGNC:TLR7),
SARS-CoV-1 activates/modulates innate immune responses,,p(HGNC:TLR7); p(HGNC:TBK1),
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,,p(HGNC:TLR9); p(HGNC:TLR7),
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,,p(HGNC:TLR9); p(HGNC:TLR7),
MyD88 dependent cascade initiated on endosome,,p(HGNC:TLR9); p(HGNC:TLR7),
Defective regulation of TLR7 by endogenous ligand,,p(HGNC:TLR7),
RSV-host interactions,,p(HGNC:TLR7),
Signaling by SCF-KIT,,p(HGNC:JAK2); p(HGNC:KIT); p(HGNC:FER),
Intrinsic Pathway of Fibrin Clot Formation,,p(HGNC:SERPINC1); p(HGNC:F10),
Common Pathway of Fibrin Clot Formation,,p(HGNC:SERPINC1); p(HGNC:F10),
Post-translational protein phosphorylation,,p(HGNC:SERPINC1); p(HGNC:IL6),
Cholesterol biosynthesis,,p(HGNC:HMGCR),
PPARA activates gene expression,,p(HGNC:HMGCR),
Activation of gene expression by SREBF (SREBP),,p(HGNC:HMGCR),
EGR2 and SOX10-mediated initiation of Schwann cell myelination,,p(HGNC:HMGCR),
cGMP effects,,p(HGNC:PDE5A),
Smooth Muscle Contraction,,p(HGNC:GUCY1B1); p(HGNC:PDE5A),
RHOBTB1 GTPase cycle,,p(HGNC:PDE5A),
TWIK-releated acid-sensitive K+ channel (TASK),,p(HGNC:KCNK3); p(HGNC:KCNK9),
Terminal pathway of complement,,p(HGNC:C5),
Activation of C3 and C5,,p(HGNC:C5),
Regulation of Complement cascade,,p(HGNC:C5),
Vitamin D (calciferol) metabolism,,p(HGNC:VDR),
SUMOylation of intracellular receptors,,p(HGNC:NR3C1); p(HGNC:VDR); p(HGNC:AR),
Neurotransmitter receptors and postsynaptic signal transmission,,p(HGNC:GLRA1),
Xenobiotics,,p(HGNC:CYP3A4); p(HGNC:CYP3A5),
Aflatoxin activation and detoxification,,p(HGNC:CYP3A4); p(HGNC:CYP3A5),
Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,,p(HGNC:CHRNB2),
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,,p(HGNC:CHRNB2),
Highly calcium permeable nicotinic acetylcholine receptors,,p(HGNC:CHRNB2),
Circadian Clock,,p(HGNC:NR3C1),
PTK6 Expression,,p(HGNC:NR3C1),
Regulation of RUNX2 expression and activity,,p(HGNC:NR3C1); p(HGNC:GSK3B),
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",,p(HGNC:NR3C1),
Regulation of NPAS4 gene transcription,,p(HGNC:NR3C1),
Prolactin receptor signaling,,p(HGNC:JAK2),
Signaling by Leptin,,p(HGNC:JAK2),
RMTs methylate histone arginines,,p(HGNC:JAK2),
"Interleukin-3, Interleukin-5 and GM-CSF signaling",,p(HGNC:CSF2); p(HGNC:JAK2),
RAF activation,,p(HGNC:JAK2),
Signaling by moderate kinase activity BRAF mutants,,p(HGNC:JAK2),
