chembl_id,drug_name,mechanism_of_action
CHEMBL635,PREDNISONE,Glucocorticoid receptor agonist
CHEMBL650,METHYLPREDNISOLONE,Glucocorticoid receptor agonist
CHEMBL68117,VOSAROXIN,DNA inhibitor
CHEMBL68117,VOSAROXIN,DNA topoisomerase II inhibitor
CHEMBL723,CARVEDILOL,Adrenergic receptor alpha-1 antagonist
CHEMBL723,CARVEDILOL,Adrenergic receptor beta antagonist
CHEMBL727,THIOGUANINE,DNA inhibitor
CHEMBL727,THIOGUANINE,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
CHEMBL803,CYTARABINE,DNA inhibitor
CHEMBL803,CYTARABINE,DNA polymerase (alpha/delta/epsilon) inhibitor
CHEMBL803,CYTARABINE,RNA inhibitor
CHEMBL848,LENALIDOMIDE,CRL4(CRBN) E3 ubiquitin ligase inhibitor
CHEMBL98,VORINOSTAT,Histone deacetylase 1 inhibitor
CHEMBL98,VORINOSTAT,Histone deacetylase 2 inhibitor
CHEMBL98,VORINOSTAT,Histone deacetylase 3 inhibitor
CHEMBL98,VORINOSTAT,Histone deacetylase 6 inhibitor
