name,url,associated_proteins,associated_drugs
Downstream signal transductio,,p(HGNC:PDGFRB); p(HGNC:PDGFRA); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
PECAM1 interaction,,p(HGNC:PTPN11),
Tie2 Signalin,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
Constitutive Signaling by Aberrant PI3K in Cance,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA); p(HGNC:PTPN11),
Signaling by Lepti,,p(HGNC:JAK2); p(HGNC:PTPN11),
Co-inhibition by CTLA,,p(HGNC:PTPN11),
Co-inhibition by PD-,,p(HGNC:PTPN11),
Signal regulatory protein family interaction,,p(HGNC:PTPN11),
Netrin mediated repulsion signal,,p(HGNC:PTPN11),
Platelet sensitization by LD,,p(HGNC:PTPN11),
"Interleukin-3, Interleukin-5 and GM-CSF signalin",,p(HGNC:JAK2); p(HGNC:PTPN11),
PI-3K cascade:FGFR,,p(HGNC:PTPN11),
FRS-mediated FGFR1 signalin,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
FRS-mediated FGFR2 signalin,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
FRS-mediated FGFR3 signalin,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
FRS-mediated FGFR4 signalin,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
Negative regulation of FGFR1 signalin,,p(HGNC:PTPN11); p(HGNC:CBL),
Negative regulation of FGFR2 signalin,,p(HGNC:PTPN11); p(HGNC:CBL),
Negative regulation of FGFR3 signalin,,p(HGNC:PTPN11); p(HGNC:CBL),
Negative regulation of FGFR4 signalin,,p(HGNC:PTPN11); p(HGNC:CBL),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin",,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA); p(HGNC:PTPN11),
Regulation of IFNG signalin,,p(HGNC:JAK2); p(HGNC:PTPN11),
RET signalin,,p(HGNC:PRKCA); p(HGNC:PTPN11),
Interleukin-20 family signalin,,p(HGNC:JAK2); p(HGNC:PTPN11),
MET activates PTPN1,,p(HGNC:PTPN11),
Regulation of RUNX1 Expression and Activit,,p(HGNC:PTPN11); p(HGNC:RUNX1),
Interleukin-37 signalin,,p(HGNC:PTPN11),
Activated NTRK2 signals through FRS2 and FRS,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
Interferon alpha/beta signalin,,p(HGNC:PTPN11),
Regulation of IFNA/IFNB signalin,,p(HGNC:PTPN11),
"Activation of IRF3, IRF7 mediated by TBK1, IKKEpsilon (IKBKE",,p(HGNC:PTPN11),
FLT3 Signalin,,p(HGNC:FLT3); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
STAT5 Activatio,,p(HGNC:FLT3); p(HGNC:PTPN11),
Signaling by CSF3 (G-CSF,,p(HGNC:CSF3R); p(HGNC:JAK2); p(HGNC:PTPN11); p(HGNC:KRAS),
Signaling by CSF1 (M-CSF) in myeloid cell,,p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:CBL),
STAT5 activation downstream of FLT3 ITD mutant,,p(HGNC:FLT3); p(HGNC:PTPN11),
Signaling by FLT3 ITD and TKD mutant,,p(HGNC:FLT3); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
SARS-CoV-2 activates/modulates innate and adaptive immune response,,p(HGNC:PTPN11),
Co-inhibition by BTL,,p(HGNC:PTPN11),
PKMTs methylate histone lysine,,p(HGNC:NSD1); p(HGNC:EZH2),
Transcriptional regulation of white adipocyte differentiatio,,p(HGNC:CEBPA),
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi,,p(HGNC:ABL1); p(HGNC:CEBPA),
Inhibition of replication initiation of damaged DNA by RB1/E2F,,p(HGNC:POLA1); p(HGNC:POLA2); p(HGNC:PRIM1); p(HGNC:PRIM2),
Telomere C-strand synthesis initiatio,,p(HGNC:POLA1); p(HGNC:POLA2); p(HGNC:PRIM1); p(HGNC:PRIM2),
Defective pyroptosi,,p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:POLA1); p(HGNC:POLA2); p(HGNC:EZH2); p(HGNC:PRIM1); p(HGNC:PRIM2),
RAF/MAP kinase cascad,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA); p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
FLT3 mutants bind TKI,,p(HGNC:FLT3),
KW2449-resistant FLT3 mutant,,p(HGNC:FLT3),
semaxanib-resistant FLT3 mutant,,p(HGNC:FLT3),
crenolanib-resistant FLT3 mutant,,p(HGNC:FLT3),
gilteritinib-resistant FLT3 mutant,,p(HGNC:FLT3),
lestaurtinib-resistant FLT3 mutant,,p(HGNC:FLT3),
midostaurin-resistant FLT3 mutant,,p(HGNC:FLT3),
pexidartinib-resistant FLT3 mutant,,p(HGNC:FLT3),
ponatinib-resistant FLT3 mutant,,p(HGNC:FLT3),
quizartinib-resistant FLT3 mutant,,p(HGNC:FLT3),
sorafenib-resistant FLT3 mutant,,p(HGNC:FLT3),
sunitinib-resistant FLT3 mutant,,p(HGNC:FLT3),
tandutinib-resistant FLT3 mutant,,p(HGNC:FLT3),
linifanib-resistant FLT3 mutant,,p(HGNC:FLT3),
tamatinib-resistant FLT3 mutant,,p(HGNC:FLT3),
Negative regulation of FLT,,p(HGNC:FLT3); p(HGNC:CBL),
FLT3 signaling through SRC family kinase,,p(HGNC:FLT3),
FLT3 signaling by CBL mutant,,p(HGNC:FLT3); p(HGNC:CBL),
p75NTR recruits signalling complexe,,p(HGNC:PRKCI),
Tight junction interaction,,p(HGNC:PRKCI),
KEAP1-NFE2L2 pathwa,,p(HGNC:PRKCD); p(HGNC:PRKCI); p(HGNC:PALB2),
Class B/2 (Secretin family receptors,,p(HGNC:SMO),
Hedgehog 'off' stat,,p(HGNC:SMO),
BBSome-mediated cargo-targeting to ciliu,,p(HGNC:SMO),
Hedgehog 'on' stat,,p(HGNC:SMO),
Activation of SM,,p(HGNC:SMO),
VEGFA-VEGFR2 Pathwa,,p(HGNC:AXL); p(HGNC:KDR),
SOS-mediated signallin,,p(HGNC:KRAS); p(HGNC:NRAS),
Activation of RAS in B cell,,p(HGNC:KRAS); p(HGNC:NRAS),
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variant,,p(HGNC:KRAS); p(HGNC:NRAS); p(HGNC:CBL),
SHC1 events in ERBB2 signalin,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCA); p(HGNC:KRAS); p(HGNC:NRAS),
SHC1 events in ERBB4 signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
Signalling to RA,,p(HGNC:KRAS); p(HGNC:NRAS),
p38MAPK event,,p(HGNC:KRAS); p(HGNC:NRAS),
GRB2 events in EGFR signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
SHC1 events in EGFR signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
GRB2 events in ERBB2 signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
EGFR Transactivation by Gastri,,p(HGNC:PRKCA); p(HGNC:KRAS); p(HGNC:NRAS),
DAP12 signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
SHC-related events triggered by IGF1,,p(HGNC:KRAS); p(HGNC:NRAS),
FCERI mediated MAPK activatio,,p(HGNC:KRAS); p(HGNC:NRAS),
NCAM signaling for neurite out-growt,,p(HGNC:KRAS); p(HGNC:NRAS),
Ca2+ pathway. [P01116-,,p(HGNC:KRAS),
Ras activation upon Ca2+ influx through NMDA recepto,,p(HGNC:KRAS); p(HGNC:NRAS),
CD209 (DC-SIGN) signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
Constitutive Signaling by EGFRvII,,p(HGNC:KRAS); p(HGNC:NRAS); p(HGNC:CBL),
SHC-mediated cascade:FGFR,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by FGFR2 in diseas,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by FGFR4 in diseas,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by FGFR1 in diseas,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by FGFR3 in diseas,,p(HGNC:KRAS); p(HGNC:NRAS),
Regulation of RAS by GAP,,p(HGNC:KRAS); p(HGNC:NRAS),
RAF activatio,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
MAP2K and MAPK activatio,,p(HGNC:KRAS); p(HGNC:NRAS),
Negative regulation of MAPK pathwa,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by moderate kinase activity BRAF mutant,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by high-kinase activity BRAF mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by BRAF and RAF1 fusion,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
RAS signaling downstream of NF1 loss-of-function variant,,p(HGNC:KRAS); p(HGNC:NRAS),
Paradoxical activation of RAF signaling by kinase inactive BRA,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
Insulin receptor signalling cascad,,p(HGNC:KRAS); p(HGNC:NRAS),
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinase",,p(HGNC:KRAS); p(HGNC:NRAS),
MET activates RAS signalin,,p(HGNC:KRAS); p(HGNC:NRAS),
RUNX3 regulates p14-AR,,p(HGNC:KRAS); p(HGNC:RUNX1),
Activated NTRK2 signals through RA,,p(HGNC:KRAS); p(HGNC:NRAS),
Erythropoietin activates RA,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
Activated NTRK3 signals through RA,,p(HGNC:KRAS); p(HGNC:NRAS),
Constitutive Signaling by Overexpressed ERBB,,p(HGNC:KRAS); p(HGNC:NRAS),
RAS processin,,p(HGNC:PRKCQ); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling downstream of RAS mutant,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by RAF1 mutant,,p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by ERBB2 KD Mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by ERBB2 ECD mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by ERBB2 TMD/JMD mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant",,p(HGNC:KIT); p(HGNC:JAK2); p(HGNC:KRAS); p(HGNC:NRAS),
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutant",,p(HGNC:PDGFRA); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by PDGFRA extracellular domain mutant,,p(HGNC:PDGFRA); p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by FLT3 fusion protein,,p(HGNC:KRAS); p(HGNC:NRAS); p(HGNC:ETV6),
Signaling by RAS GAP mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
Signaling by RAS GTPase mutant,,p(HGNC:KRAS); p(HGNC:NRAS),
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat,,p(HGNC:IDH1),
NADPH regeneratio,,p(HGNC:IDH1),
Neutrophil degranulatio,,p(HGNC:IDH1); p(HGNC:PRKCD); p(HGNC:CD33); p(HGNC:NRAS),
Peroxisomal protein impor,,p(HGNC:IDH1),
NFE2L2 regulating TCA cycle gene,,p(HGNC:IDH1),
PRC2 methylates histones and DN,,p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:EZH2),
NoRC negatively regulates rRNA expressio,,p(HGNC:DNMT1),
SUMOylation of DNA methylation protein,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylatio,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
STAT3 nuclear events downstream of ALK signalin,,p(HGNC:DNMT1),
RMTs methylate histone arginine,,p(HGNC:DNMT3A); p(HGNC:JAK2),
IL-6-type cytokine receptor ligand interaction,,p(HGNC:JAK2),
Cyclin D associated events in G,,p(HGNC:ABL1); p(HGNC:JAK2),
Interferon gamma signalin,,p(HGNC:JAK2); p(HGNC:PRKCD),
Interleukin-35 Signallin,,p(HGNC:JAK2),
Signaling by Erythropoieti,,p(HGNC:JAK2),
Interleukin-12 signalin,,p(HGNC:JAK2),
Interleukin-23 signalin,,p(HGNC:JAK2),
Interleukin-27 signalin,,p(HGNC:JAK2),
Erythropoietin activates Phosphoinositide-3-kinase (PI3K,,p(HGNC:JAK2),
Erythropoietin activates Phospholipase C gamma (PLCG,,p(HGNC:JAK2),
Erythropoietin activates STAT,,p(HGNC:JAK2),
Interleukin receptor SHC signalin,,p(HGNC:JAK2),
Potential therapeutics for SAR,,p(HGNC:JAK2),
Inactivation of CSF3 (G-CSF) signalin,,p(HGNC:CSF3R); p(HGNC:JAK2),
IFNG signaling activates MAPK,,p(HGNC:JAK2),
Growth hormone receptor signalin,,p(HGNC:JAK2),
Apoptotic cleavage of cellular protein,,p(HGNC:PRKCD); p(HGNC:PRKCQ),
Calmodulin induced event,,p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:PRKCG),
Effects of PIP2 hydrolysi,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
DAG and IP3 signalin,,p(HGNC:PRKCD); p(HGNC:PRKCE),
Role of phospholipids in phagocytosi,,p(HGNC:PRKCD); p(HGNC:PRKCE),
G alpha (z) signalling event,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
HuR (ELAVL1) binds and stabilizes mRN,,p(HGNC:PRKCD); p(HGNC:PRKCA),
CLEC7A (Dectin-1) signalin,,p(HGNC:PRKCD),
L13a-mediated translational silencing of Ceruloplasmin expressio,,p(HGNC:RPL5),
Peptide chain elongatio,,p(HGNC:RPL5),
SRP-dependent cotranslational protein targeting to membran,,p(HGNC:RPL5),
Viral mRNA Translatio,,p(HGNC:RPL5),
Selenocysteine synthesi,,p(HGNC:RPL5),
Major pathway of rRNA processing in the nucleolus and cytoso,,p(HGNC:RPL5),
Formation of a pool of free 40S subunit,,p(HGNC:RPL5),
GTP hydrolysis and joining of the 60S ribosomal subuni,,p(HGNC:RPL5),
Eukaryotic Translation Terminatio,,p(HGNC:RPL5),
Regulation of expression of SLITs and ROBO,,p(HGNC:RPL5),
Response of EIF2AK4 (GCN2) to amino acid deficienc,,p(HGNC:RPL5),
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC,,p(HGNC:RPL5),
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC,,p(HGNC:RPL5),
B-WICH complex positively regulates rRNA expressio,,p(HGNC:SF3B1),
Other interleukin signalin,,p(HGNC:CSF3R),
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA,,p(HGNC:PALB2); p(HGNC:RTEL1),
Resolution of D-loop Structures through Holliday Junction Intermediate,,p(HGNC:PALB2); p(HGNC:SLX4),
Homologous DNA Pairing and Strand Exchang,,p(HGNC:PALB2),
Neddylatio,,p(HGNC:PALB2),
Defective homologous recombination repair (HRR) due to BRCA1 loss of functio,,p(HGNC:PALB2),
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding functio,,p(HGNC:PALB2),
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding functio,,p(HGNC:PALB2),
Impaired BRCA2 binding to PALB,,p(HGNC:PALB2),
Transcription of E2F targets under negative control by DREAM comple,,p(HGNC:TOP2A),
SUMOylation of DNA replication protein,,p(HGNC:TOP2A),
Signaling by membrane-tethered fusions of PDGFRA or PDGFR,,p(HGNC:KDR); p(HGNC:ETV6),
Nuclear Receptor transcription pathwa,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Signaling by Retinoic Aci,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of anterior HOX genes in hindbrain development during early embryogenesi,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB); p(HGNC:EZH2),
STING mediated induction of host immune response,,p(HGNC:DDX41),
Regulation of innate immune responses to cytosolic DN,,p(HGNC:DDX41),
IRF3-mediated induction of type I IF,,p(HGNC:DDX41),
Activation of BAD and translocation to mitochondri,,p(HGNC:BCL2),
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member,,p(HGNC:BCL2),
The NLRP1 inflammasom,,p(HGNC:BCL2),
Estrogen-dependent nuclear events downstream of ESR-membrane signalin,,p(HGNC:BCL2),
NFE2L2 regulating tumorigenic gene,,p(HGNC:BCL2),
Regulation of MITF-M-dependent genes involved in apoptosi,,p(HGNC:BCL2),
Disinhibition of SNARE formatio,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
Trafficking of GluR2-containing AMPA receptor,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
WNT5A-dependent internalization of FZD,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
Response to elevated platelet cytosolic Ca2,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
Transcriptional regulation of testis differentiatio,,p(HGNC:WT1),
Nephron developmen,,p(HGNC:WT1),
Regulation of KIT signalin,,p(HGNC:KIT); p(HGNC:PRKCA); p(HGNC:CBL),
EGFR downregulatio,,p(HGNC:CBL),
TGF-beta receptor signaling activates SMAD,,p(HGNC:CBL),
Negative regulation of MET activit,,p(HGNC:CBL),
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK,,p(HGNC:CBL),
Cargo recognition for clathrin-mediated endocytosi,,p(HGNC:CBL),
Clathrin-mediated endocytosi,,p(HGNC:CBL),
InlB-mediated entry of Listeria monocytogenes into host cel,,p(HGNC:CBL),
Regulation of signaling by CB,,p(HGNC:CBL),
Platelet Aggregation (Plug Formation,,p(HGNC:MPL),
Transcriptional Regulation by E2F,,p(HGNC:EZH2),
HCMV Early Event,,p(HGNC:EZH2),
"Inactivation, recovery and regulation of the phototransduction cascad",,p(HGNC:PRKCQ); p(HGNC:PRKCA),
Syndecan interaction,,p(HGNC:PRKCA),
Acetylcholine regulates insulin secretio,,p(HGNC:PRKCA),
Ca2+ pathwa,,p(HGNC:PRKCA),
Depolymerization of the Nuclear Lamin,,p(HGNC:PRKCA); p(HGNC:PRKCB),
ROBO receptors bind AKAP,,p(HGNC:PRKCA),
Signaling by PDG,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Organic cation transpor,,p(HGNC:RUNX1),
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs,,p(HGNC:RUNX1),
RUNX1 regulates estrogen receptor mediated transcriptio,,p(HGNC:RUNX1),
RUNX1 regulates expression of components of tight junction,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in differentiation of keratinocyte,,p(HGNC:RUNX1),
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not know,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in BCR signalin,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in differentiation of myeloid cell,,p(HGNC:RUNX1); p(HGNC:PRKCB),
RUNX1 regulates transcription of genes involved in interleukin signalin,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in WNT signalin,,p(HGNC:RUNX1),
RUNX2 regulates genes involved in differentiation of myeloid cell,,p(HGNC:RUNX1),
SARS-CoV-1 activates/modulates innate immune response,,p(HGNC:RUNX1),
Imatinib-resistant PDGFR mutant,,p(HGNC:PDGFRA),
Sunitinib-resistant PDGFR mutant,,p(HGNC:PDGFRA),
Regorafenib-resistant PDGFR mutant,,p(HGNC:PDGFRA),
Sorafenib-resistant PDGFR mutant,,p(HGNC:PDGFRA),
PDGFR mutants bind TKI,,p(HGNC:PDGFRA),
Downstream TCR signalin,,p(HGNC:PRKCQ),
FCERI mediated NF-kB activatio,,p(HGNC:PRKCQ),
Netrin-1 signalin,,p(HGNC:PRKCQ),
Neurophilin interactions with VEGF and VEGF,,p(HGNC:KDR),
VEGF binds to VEGFR leading to receptor dimerizatio,,p(HGNC:KDR),
Integrin cell surface interaction,,p(HGNC:KDR),
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell,,p(HGNC:KDR),
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cel,,p(HGNC:CD33),
Transcriptional activation of mitochondrial biogenesi,,p(HGNC:IDH2),
Citric acid cycle (TCA cycle,,p(HGNC:IDH2),
Mitochondrial protein degradatio,,p(HGNC:IDH2),
Maturation of TCA enzymes and regulation of TCA cycl,,p(HGNC:IDH2),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptor,,p(HGNC:KIT),
Dasatinib-resistant KIT mutant,,p(HGNC:KIT),
Imatinib-resistant KIT mutant,,p(HGNC:KIT),
KIT mutants bind TKI,,p(HGNC:KIT),
Masitinib-resistant KIT mutant,,p(HGNC:KIT),
Nilotinib-resistant KIT mutant,,p(HGNC:KIT),
Regorafenib-resistant KIT mutant,,p(HGNC:KIT),
Signaling by kinase domain mutants of KI,,p(HGNC:KIT),
Sunitinib-resistant KIT mutant,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutant,,p(HGNC:KIT),
Sorafenib-resistant KIT mutant,,p(HGNC:KIT),
Signaling by extracellular domain mutants of KI,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activit,,p(HGNC:KIT),
NOTCH3 Intracellular Domain Regulates Transcription. [Q13422-,,p(HGNC:IKZF1),
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs,,p(HGNC:DNMT3A),
HDR through Single Strand Annealing (SSA,,p(HGNC:ABL1); p(HGNC:ERCC4),
Formation of Incision Complex in GG-NE,,p(HGNC:ERCC4),
Activation of NF-kappaB in B cell,,p(HGNC:PRKCB),
Regulation of actin dynamics for phagocytic cup formatio,,p(HGNC:ABL1),
Role of ABL in ROBO-SLIT signalin,,p(HGNC:ABL1),
Myogenesi,,p(HGNC:ABL1),
RHO GTPases Activate WASPs and WAVE,,p(HGNC:ABL1),
RUNX2 regulates osteoblast differentiatio,,p(HGNC:ABL1),
FCGR3A-mediated phagocytosi,,p(HGNC:ABL1),
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cell",,p(HGNC:ABL1),
SUMOylation of intracellular receptor,,p(HGNC:RARA),
TGFBR3 expressio,,p(HGNC:RARA),
G1/S-Specific Transcriptio,,p(HGNC:POLA1),
UCH proteinase,,p(HGNC:ASXL1),
