drug_name,chembl_id,max_phase,cancer_indications
ARSENIC TRIOXIDE,CHEMBL5483015,4,"Brain Neoplasms; Breast Neoplasms; Carcinoma, Basal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Central Nervous System Neoplasms; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Glioblastoma; Gliosarcoma; Kidney Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Promyelocytic, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma; Melanoma; Multiple Myeloma; Neoplasms; Neoplasms, Plasma Cell; Neuroblastoma; Pancreatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Small Cell Lung Carcinoma; Ureteral Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms"
ASCIMINIB,CHEMBL4208229,4,"Biliary Tract Neoplasms; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
ASCIMINIB HYDROCHLORIDE,CHEMBL4297220,4,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
ASCORBIC ACID,CHEMBL196,3,"Astrocytoma; Breast Neoplasms; Carcinoma, Basal Cell; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Colonic Neoplasms; Colorectal Neoplasms; Glioblastoma; Glioma; Gliosarcoma; Hereditary Breast and Ovarian Cancer Syndrome; Hodgkin Disease; Leukemia, Myeloid, Acute; Leukemia, Promyelocytic, Acute; Lung Neoplasms; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Multiple Myeloma; Neoplasms; Neoplasms, Plasma Cell; Oligodendroglioma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Sarcoma; Stomach Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms"
ASLAN-003,CHEMBL2263632,2,"Leukemia, Myeloid, Acute"
ASPACYTARABINE,CHEMBL4297599,2,"Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
ASPACYTARABINE HYDROCHLORIDE,CHEMBL4802250,1,"Leukemia, Myeloid, Acute"
ASPARAGINASE,CHEMBL2108989,4,"Leukemia; Leukemia, Basophilic, Acute; Leukemia, Biphenotypic, Acute; Leukemia, Erythroblastic, Acute; Leukemia, Megakaryoblastic, Acute; Leukemia, Monocytic, Acute; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Acute; Leukemia, Myelomonocytic, Chronic; Lymphoma; Lymphoma, Non-Hodgkin; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Sarcoma, Myeloid"
ASPARAGINASE ERWINIA CHRYSANTHEMI,CHEMBL1863514,4,"Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
ASPIRIN,CHEMBL25,3,"Adenocarcinoma of Lung; Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Colonic Neoplasms; Colorectal Neoplasms; Colorectal Neoplasms, Hereditary Nonpolyposis; Endometrial Neoplasms; Esophageal Neoplasms; Glioblastoma; Head and Neck Neoplasms; Leukemia, Hairy Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Melanoma; Mouth Neoplasms; Multiple Myeloma; Nasopharyngeal Carcinoma; Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Stomach Neoplasms; Uterine Cervical Neoplasms"
ASTX-660,CHEMBL4173974,1,"Leukemia, Myeloid, Acute; Lymphoma, T-Cell, Peripheral; Rectal Neoplasms"
ATEZOLIZUMAB,CHEMBL3707227,4,"Adenocarcinoma; Adrenal Cortex Neoplasms; Anus Neoplasms; Astrocytoma; Biliary Tract Neoplasms; Breast Neoplasms; Carcinoma; Carcinoma, Hepatocellular; Carcinoma, Neuroendocrine; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Carcinoma, Transitional Cell; Cholangiocarcinoma; Colonic Neoplasms; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Gallbladder Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Glioma; Gliosarcoma; Head and Neck Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Kidney Neoplasms; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Cutaneous; Melanoma; Mesothelioma; Multiple Myeloma; Mycosis Fungoides; Neoplasm Metastasis; Neoplasms; Oropharyngeal Neoplasms; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Peritoneal Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Rhabdomyosarcoma; Sarcoma; Sarcoma, Alveolar Soft Part; Sezary Syndrome; Skin Neoplasms; Small Cell Lung Carcinoma; Stomach Neoplasms; Thyroid Neoplasms; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms; Urogenital Neoplasms; Urologic Neoplasms; Uterine Cervical Neoplasms"
ATORVASTATIN,CHEMBL1487,3,"Breast Neoplasms; Carcinoma, Renal Cell; Colorectal Neoplasms; Colorectal Neoplasms, Hereditary Nonpolyposis; Endometrial Neoplasms; Glioblastoma; Inflammatory Breast Neoplasms; Kidney Neoplasms; Leukemia; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Non-Hodgkin; Melanoma; Multiple Myeloma; Nasopharyngeal Carcinoma; Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant"
ATOVAQUONE,CHEMBL1450,1,"Carcinoma, Non-Small-Cell Lung; Leukemia, Myeloid, Acute"
AVAPRITINIB,CHEMBL4204794,4,"Gastrointestinal Stromal Tumors; Glioma; Leukemia, Mast-Cell; Leukemia, Myeloid, Acute; Neoplasms"
AVE-9633,CHEMBL2109266,1,"Leukemia, Myeloid"
AVELUMAB,CHEMBL3833373,4,"Adenocarcinoma; Breast Neoplasms; Carcinoma, Adenoid Cystic; Carcinoma, Hepatocellular; Carcinoma, Merkel Cell; Carcinoma, Neuroendocrine; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Carcinoma, Transitional Cell; Central Nervous System Neoplasms; Colonic Neoplasms; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Glioblastoma; Glioma; Head and Neck Neoplasms; Hemangiosarcoma; Hodgkin Disease; Kidney Neoplasms; Leiomyosarcoma; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Melanoma; Meningioma; Mesothelioma; Multiple Myeloma; Nasopharyngeal Neoplasms; Neoplasms; Neuroendocrine Tumors; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Peritoneal Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Skin Neoplasms; Small Cell Lung Carcinoma; Stomach Neoplasms; Thymoma; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms; Urogenital Neoplasms; Uveal Melanoma"
AVITOTAMIG,CHEMBL6068436,1,"Leukemia, Myeloid, Acute"
AXITINIB,CHEMBL1289926,4,"Adrenal Cortex Neoplasms; Biliary Tract Neoplasms; Breast Neoplasms; Carcinoid Tumor; Carcinoma; Carcinoma, Adenoid Cystic; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Colorectal Neoplasms; Endometrial Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Gliosarcoma; Kidney Neoplasms; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Melanoma; Mesothelioma; Nasopharyngeal Neoplasms; Neoplasm Metastasis; Neoplasms; Pancreatic Neoplasms; Paraganglioma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Salivary Gland Neoplasms; Sarcoma; Sarcoma, Alveolar Soft Part; Skin Neoplasms; Solitary Fibrous Tumors; Stomach Neoplasms; Thyroid Neoplasms"
AZACITIDINE,CHEMBL1489,4,"Blastic Plasmacytoid Dendritic Cell Neoplasm; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Colonic Neoplasms; Colorectal Neoplasms; Esophageal Neoplasms; Glioma; Head and Neck Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Erythroblastic, Acute; Leukemia, Large Granular Lymphocytic; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Monocytic, Acute; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Liposarcoma; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Peripheral; Melanoma; Multiple Myeloma; Nasopharyngeal Neoplasms; Neoplasms; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Sarcoma"
AZATHIOPRINE,CHEMBL1542,3,"Carcinoma, Hepatocellular; Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
AZD-1208,CHEMBL3545423,1,"Leukemia, Myeloid, Acute; Lymphoma; Neoplasms"
AZD-4877,CHEMBL1829433,1,"Carcinoma; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Non-Hodgkin; Neoplasms"
AZD-5153,CHEMBL4078100,1,"Leukemia, Myeloid, Acute; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin"
AZD-5991,CHEMBL4297482,1,"Leukemia, Myeloid, Acute"
AZENOSERTIB,CHEMBL5095036,2,"Carcinoma, Pancreatic Ductal; Leukemia, Myeloid; Neoplasms; Osteosarcoma; Pancreatic Neoplasms"
BALIXAFORTIDE,CHEMBL4802129,3,"Breast Neoplasms; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms"
BARASERTIB,CHEMBL415049,2,"Leukemia, Myeloid; Leukemia, Myeloid, Acute; Lymphoma; Neoplasms"
BASILIXIMAB,CHEMBL1201439,2,"Glioblastoma; Hodgkin Disease; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms"
BAY1436032,CHEMBL4206033,1,"Leukemia, Myeloid, Acute; Neoplasms"
BELINOSTAT,CHEMBL408513,4,"Adenocarcinoma; Burkitt Lymphoma; Carcinoma; Carcinoma, Endometrioid; Carcinoma, Non-Small-Cell Lung; Fallopian Tube Neoplasms; Glioblastoma; Hematologic Neoplasms; Hodgkin Disease; Leukemia; Leukemia, Myeloid, Acute; Leukemia-Lymphoma, Adult T-Cell; Liver Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell; Lymphoma, T-Cell, Cutaneous; Lymphoma, T-Cell, Peripheral; Mesothelioma; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Peritoneal Neoplasms; Sarcoma; Small Cell Lung Carcinoma; Thymoma; Urinary Bladder Neoplasms; Uveal Melanoma"
BEMCENTINIB,CHEMBL3809489,2,"Adenocarcinoma of Lung; Carcinoma, Non-Small-Cell Lung; Central Nervous System Neoplasms; Colorectal Neoplasms; Inflammatory Breast Neoplasms; Leukemia, Myeloid, Acute; Melanoma; Mesothelioma; Neoplasms; Pancreatic Neoplasms"
BENDAMUSTINE,CHEMBL487253,4,"Breast Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Hairy Cell; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Plasma Cell; Lymphoma; Lymphoma, B-Cell; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Peripheral; Multiple Myeloma; Neoplasms; Ovarian Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Small Cell Lung Carcinoma"
BEVACIZUMAB,CHEMBL1201583,4,"Adenocarcinoma; Adenocarcinoma of Lung; Adenocarcinoma, Clear Cell; Adrenal Cortex Neoplasms; Astrocytoma; Biliary Tract Neoplasms; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Carcinoid Tumor; Carcinoma; Carcinoma, Endometrioid; Carcinoma, Hepatocellular; Carcinoma, Islet Cell; Carcinoma, Large Cell; Carcinoma, Merkel Cell; Carcinoma, Neuroendocrine; Carcinoma, Non-Small-Cell Lung; Carcinoma, Ovarian Epithelial; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Central Nervous System Neoplasms; Cholangiocarcinoma; Choriocarcinoma; Colonic Neoplasms; Colorectal Neoplasms; Colorectal Neoplasms, Hereditary Nonpolyposis; Desmoplastic Small Round Cell Tumor; Diffuse Intrinsic Pontine Glioma; Endometrial Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Fibrosarcoma; Gallbladder Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Glioma; Gliosarcoma; Head and Neck Neoplasms; Hemangiosarcoma; Hodgkin Disease; Inflammatory Breast Neoplasms; Kidney Neoplasms; Leiomyosarcoma; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Liposarcoma; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Medulloblastoma; Melanoma; Meningioma; Mesothelioma; Multiple Myeloma; Nasopharyngeal Carcinoma; Nasopharyngeal Neoplasms; Neoplasm Metastasis; Neoplasms; Neoplasms, Cystic, Mucinous, and Serous; Neoplasms, Germ Cell and Embryonal; Neoplasms, Plasma Cell; Neuroblastoma; Neuroectodermal Tumors, Primitive, Peripheral; Neuroendocrine Tumors; Oligodendroglioma; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Peritoneal Neoplasms; Pharyngeal Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Rhabdomyosarcoma; Rhabdomyosarcoma, Alveolar; Sarcoma; Sarcoma, Alveolar Soft Part; Sarcoma, Kaposi; Sarcoma, Synovial; Sex Cord-Gonadal Stromal Tumors; Small Cell Lung Carcinoma; Stomach Neoplasms; Thymoma; Thyroid Neoplasms; Triple Negative Breast Neoplasms; Trophoblastic Tumor, Placental Site; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Uterine Neoplasms; Uveal Melanoma"
BEXAROTENE,CHEMBL1023,4,"Breast Neoplasms; Carcinoma, Intraductal, Noninfiltrating; Carcinoma, Non-Small-Cell Lung; Leukemia; Leukemia, Myeloid, Acute; Lung Neoplasms; Lymphoma; Lymphoma, Large-Cell, Anaplastic; Lymphoma, T-Cell; Lymphoma, T-Cell, Cutaneous; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Sezary Syndrome; Thyroid Neoplasms; Triple Negative Breast Neoplasms"
BI-2536,CHEMBL513909,2,"Carcinoma, Non-Small-Cell Lung; Leukemia, Myeloid, Acute; Lymphoma; Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Small Cell Lung Carcinoma"
BI-811283,CHEMBL3545395,2,"Leukemia, Myeloid, Acute; Neoplasms"
BIRABRESIB,CHEMBL3581647,2,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Glioblastoma; Leukemia, Myeloid, Acute; Lymphoma, Large B-Cell, Diffuse; Prostatic Neoplasms, Castration-Resistant"
BIRINAPANT,CHEMBL3039522,2,"Carcinoma, Squamous Cell; Fallopian Tube Neoplasms; Leukemia, Myeloid, Acute; Neoplasms; Ovarian Neoplasms; Peritoneal Neoplasms"
BISANTRENE,CHEMBL25336,2,"Leukemia, Myeloid, Acute"
BMS-214662,CHEMBL351706,1,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Promyelocytic, Acute; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
BN-104,CHEMBL6068545,1,"Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
BOMEDEMSTAT,CHEMBL4297289,1,"Leukemia, Myeloid, Acute; Neoplasms; Small Cell Lung Carcinoma"
