rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
18,monobenzone,CHEMBL1388,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=988.8 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.0,6.0,9.0,4.0,200.24,2.97,0.0,True,False,False,0.0,1.5,1.5
19,tacedinaline,CHEMBL235191,True,Histone deacetylase 1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.4 (True=39.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",High,6.0,7.41,9.0,3.0,269.3,2.48,0.0,True,False,False,0.0,2.0,1.0
20,tanespimycin,CHEMBL109480,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.3 (True=4.6 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",High,6.0,8.34,8.0,3.0,585.7,2.54,1.0,True,False,False,0.0,2.0,1.0
21,thalidomide,CHEMBL468,True,Mu-type opioid receptor,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=202.2 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",High,6.0,6.69,8.0,4.0,258.23,0.09,0.0,True,False,False,0.0,1.5,1.5
22,LXR-623,CHEMBL456237,True,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.7 (True=0.212 True vs True, True); assay confidence=7/9; clinical stage: Phase I; MOA: True",High,5.5,9.67,7.0,1.0,422.78,6.7,1.0,True,False,False,0.0,2.0,0.5
23,trichostatin-a,CHEMBL99,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.9 (True=0.13 True vs True, True); assay confidence=9/9; clinical stage: Phase I; MOA: True",High,5.5,9.89,9.0,1.0,302.37,2.58,0.0,True,False,False,0.0,2.0,0.5
24,AC-261066,CHEMBL198997,True,Retinoic acid receptor gamma,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.2 (True=5.8 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.24,9.0,,353.42,4.15,0.0,True,False,False,0.0,2.0,0.0
25,ACY-1215,CHEMBL2364628,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,9.0,9.0,2.0,433.51,4.13,0.0,True,False,False,0.0,2.0,0.0
26,AGN-195183,CHEMBL107430,True,Retinoic acid receptor alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",High,5.0,8.52,8.0,2.0,437.87,5.62,1.0,True,False,False,0.0,2.0,0.0
27,AM-580,CHEMBL69367,True,Retinoic acid receptor alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.5 (True=0.3 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,9.52,9.0,,351.45,4.99,0.0,True,False,False,0.0,2.0,0.0
28,AR-42,CHEMBL191482,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.2 (True=6.6 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,8.18,9.0,2.0,312.37,3.18,0.0,True,False,False,0.0,2.0,0.0
29,AT13387,CHEMBL1214827,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.9 (True=13.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,7.89,9.0,2.0,409.53,3.12,0.0,True,False,False,0.0,2.0,0.0
30,BIIB021,CHEMBL467399,True,Heat shock protein HSP 90-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.8 (True=1.7 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",High,5.0,8.77,8.0,2.0,318.77,2.13,0.0,True,False,False,0.0,2.0,0.0
31,BMS-649,CHEMBL112715,True,Retinoic acid receptor RXR-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.5 (True=34.0 True vs True, True); assay confidence=8/9; MOA: True",High,5.0,7.47,8.0,,380.48,4.98,0.0,True,False,False,0.0,2.0,0.0
32,CD-437,CHEMBL1180,True,Retinoic acid receptor gamma,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.3 (True=49.0 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,7.31,9.0,,398.5,6.38,1.0,True,False,False,0.0,2.0,0.0
33,EC-144,CHEMBL1230584,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.7 (True=0.2 True vs True, True); assay confidence=8/9; MOA: True",High,5.0,9.7,8.0,,413.91,3.25,0.0,True,False,False,0.0,2.0,0.0
34,EC-23,CHEMBL451835,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.5 (True=0.3 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,9.52,9.0,,332.44,5.13,1.0,True,False,False,0.0,2.0,0.0
35,ER-50891,CHEMBL20066,True,Retinoic acid receptor alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.5 (True=31.2 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,7.51,9.0,,432.52,7.39,1.0,True,False,False,0.0,2.0,0.0
36,GW-3965,CHEMBL59030,True,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.6 (True=0.228 True vs True, True); assay confidence=7/9; MOA: True",High,5.0,9.64,7.0,,582.06,8.09,2.0,True,False,False,0.0,2.0,0.0
37,M-344,CHEMBL140000,True,Histone deacetylase 3,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.4 (True=4.3 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.37,9.0,,307.39,1.94,0.0,True,False,False,0.0,2.0,0.0
38,MLN9708,CHEMBL1813256,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.1 (True=8.44 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.07,9.0,,517.13,,,True,False,False,0.0,2.0,0.0
39,NMS-E973,CHEMBL2443044,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.5 (True=0.35 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,9.46,9.0,,454.44,3.28,0.0,True,False,False,0.0,2.0,0.0
40,NVP-AUY922,CHEMBL252164,True,Heat shock protein HSP 90-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=10.2 (True=0.064 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",High,5.0,10.19,8.0,2.0,465.55,4.13,0.0,True,False,False,0.0,2.0,0.0
41,NVP-HSP990,CHEMBL3360305,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.9 (True=13.0 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,7.89,9.0,,379.4,2.6,0.0,True,False,False,0.0,2.0,0.0
42,PU-H71,CHEMBL200102,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.1 (True=7.62 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,8.12,9.0,2.0,512.38,3.28,1.0,True,False,False,0.0,2.0,0.0
43,SBHA,CHEMBL320497,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.8 (True=14.5 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,7.84,9.0,,204.23,0.34,0.0,True,False,False,0.0,2.0,0.0
44,SNX-2112,CHEMBL560895,True,Heat shock protein HSP 90-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.0 (True=1.1 True vs True, True); assay confidence=8/9; MOA: True",High,5.0,8.96,8.0,-1.0,464.49,3.86,0.0,True,False,False,0.0,2.0,0.0
45,SNX-5422,CHEMBL1195136,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.4 (True=38.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,7.42,9.0,2.0,521.54,3.37,1.0,True,False,False,0.0,2.0,0.0
46,T-0901317,CHEMBL62136,True,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=10.0 (True=0.108 True vs True, True); assay confidence=7/9; MOA: True",High,5.0,9.97,7.0,,481.34,4.76,0.0,True,False,False,0.0,2.0,0.0
47,TCS-2210,CHEMBL566099,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.8 (True=1.551 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.81,9.0,,323.35,2.22,0.0,True,False,False,0.0,2.0,0.0
48,TTNPB,CHEMBL275311,True,Retinoic acid receptor alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.7 (True=0.18 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,9.74,9.0,,348.49,6.29,1.0,True,False,False,0.0,2.0,0.0
49,VER-155008,CHEMBL470334,True,Endoplasmic reticulum chaperone BiP,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.1 (True=80.0 True vs True, True); assay confidence=8/9; MOA: True",High,5.0,7.1,8.0,,556.41,3.04,2.0,True,False,False,0.0,2.0,0.0
50,VER-49009,CHEMBL365617,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.0 (True=10.7 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,7.97,9.0,,387.82,3.57,0.0,True,False,False,0.0,2.0,0.0
51,abametapir,CHEMBL2205807,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=1022.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,5.0,5.99,9.0,4.0,184.24,2.76,0.0,True,False,False,0.0,0.5,1.5
52,alvespimycin,CHEMBL383824,True,Heat shock protein HSP 90-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.6 (True=24.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,7.62,9.0,2.0,616.76,1.91,1.0,True,False,False,0.0,2.0,0.0
53,evans-blue,CHEMBL1015,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.7 (True=1955.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,5.0,5.71,9.0,4.0,872.89,6.67,4.0,True,False,False,0.0,0.5,1.5
54,nexturastat-A,CHEMBL2179618,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.8 (True=1.6 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.8,9.0,,341.41,3.64,0.0,True,False,False,0.0,2.0,0.0
55,oprozomib,CHEMBL2103884,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,5.0,8.52,9.0,2.0,532.62,0.41,1.0,True,False,False,0.0,2.0,0.0
56,scriptaid,CHEMBL96051,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.6 (True=0.25 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,9.6,9.0,,326.35,2.5,0.0,True,False,False,0.0,2.0,0.0
57,tubastatin-A,CHEMBL2018302,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.7 (True=1.9 True vs True, True); assay confidence=9/9; MOA: True",High,5.0,8.72,9.0,,335.41,2.8,0.0,True,False,False,0.0,2.0,0.0
58,4-mu-8C,CHEMBL272357,True,Serine/threonine-protein kinase/endoribonuclease IRE1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=206.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.69,9.0,,204.18,1.62,0.0,True,False,False,0.0,1.5,0.0
59,AC-55649,CHEMBL425027,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.9 (True=125.89 True vs True, True); assay confidence=8/9; MOA: True",High,4.5,6.9,8.0,,310.44,5.95,1.0,True,False,False,0.0,1.5,0.0
60,ACDPP,CHEMBL1616372,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=891.5 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.05,9.0,,292.73,1.43,0.0,True,False,False,0.0,1.5,0.0
61,CCT018159,CHEMBL399530,True,Heat shock protein HSP 90-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.5 (True=280.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.55,9.0,,352.39,3.8,0.0,True,False,False,0.0,1.5,0.0
62,FPL-62064,CHEMBL4070705,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.3 (True=482.4 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.32,9.0,,265.32,3.62,0.0,True,False,False,0.0,1.5,0.0
63,LE-135,CHEMBL37708,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=220.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.66,9.0,,438.57,6.98,1.0,True,False,False,0.0,1.5,0.0
64,NFKB-activation-inhibitor-II,CHEMBL4303329,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.1 (True=837.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.08,9.0,,240.35,3.62,0.0,True,False,False,0.0,1.5,0.0
65,OAC1,CHEMBL3187798,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=184.5 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.73,9.0,,237.26,2.82,0.0,True,False,False,0.0,1.5,0.0
66,RITA,CHEMBL1555354,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.2 (True=555.8 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.25,9.0,,292.38,3.72,0.0,True,False,False,0.0,1.5,0.0
67,STF-62247,CHEMBL565269,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=203.2 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.69,9.0,,267.36,4.26,0.0,True,False,False,0.0,1.5,0.0
68,TCN238,CHEMBL1209431,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.1 (True=775.2 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.11,9.0,,197.24,2.23,0.0,True,False,False,0.0,1.5,0.0
69,ZLN005,CHEMBL4303368,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.5 (True=296.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.53,9.0,,250.34,4.53,0.0,True,False,False,0.0,1.5,0.0
70,ZLN024,CHEMBL4303623,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.3 (True=484.7 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.32,9.0,,325.23,3.72,0.0,True,False,False,0.0,1.5,0.0
71,adarotene,CHEMBL442016,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.7 (True=200.0 True vs True, True); assay confidence=8/9; MOA: True",High,4.5,6.7,8.0,,374.48,5.62,1.0,True,False,False,0.0,1.5,0.0
72,benzoxiquine,CHEMBL1170610,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=932.3 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,4.5,6.03,9.0,2.0,249.27,3.45,0.0,True,False,False,0.0,1.5,0.0
73,dantron,CHEMBL53418,True,,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,clinical stage: Approved; MOA: True,High,4.5,,,4.0,240.21,1.87,0.0,True,False,False,0.0,0.0,1.5
74,emodin,CHEMBL289277,True,Proteasome component C5,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.6 (True=240.0 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.62,9.0,,270.24,1.89,0.0,True,False,False,0.0,1.5,0.0
75,etretinate,CHEMBL464,True,,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,clinical stage: Approved; MOA: True,High,4.5,,,4.0,354.49,5.65,1.0,True,False,False,0.0,0.0,1.5
76,frentizole,CHEMBL128988,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.2 (True=592.3 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",High,4.5,6.23,9.0,2.0,299.36,3.95,0.0,True,False,False,0.0,1.5,0.0
77,glycitein,CHEMBL513024,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.2 (True=675.5 True vs True, True); assay confidence=9/9; MOA: True",High,4.5,6.17,9.0,,284.27,2.88,0.0,True,False,False,0.0,1.5,0.0
