chembl_id,preferred_name,trade_names,url,targets,mechanisms
CHEMBL1421,DASATINIB ANHYDROUS,Dasatinib accord; Dasatinib accordpharma,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1421,p(HGNC:ABL1); p(HGNC:PDGFRB); p(HGNC:KIT),"bp(MOA:""Tyrosine-protein kinase ABL inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")"
CHEMBL2109229,OBLIMERSEN SODIUM,Genasense,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2109229,,"bp(MOA:""Bcl-2 mRNA antisense inhibitor"")"
CHEMBL1096882,FLUDARABINE PHOSPHATE,Fludara; Fludarabine phosphate; Oforta,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1096882,p(HGNC:POLA1),"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")"
CHEMBL848,LENALIDOMIDE,Lenalidomide accord; Lenalidomide mylan; Revlimid,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL848,,"bp(MOA:""CRL4(CRBN) E3 ubiquitin ligase inhibitor"")"
CHEMBL289228,TIPIFARNIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL289228,,"bp(MOA:""Protein farnesyltransferase inhibitor"")"
CHEMBL1201081,METHYLPREDNISOLONE SODIUM SUCCINATE,A-methapred; Methylprednisolone sodium succinate; Min-i-mix; Solu-medrol; Solu-medrone; Urbasone,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201081,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL727,THIOGUANINE,Lanvis; Tabloid; Thioguanine,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL727,,"bp(MOA:""Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL1200485,SORAFENIB TOSYLATE,Nexavar; Sorafenib accord,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200485,p(HGNC:RAF1); p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:BRAF),"bp(MOA:""Serine/threonine-protein kinase RAF inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")"
CHEMBL2105728,CRENOLANIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105728,p(HGNC:PDGFRB); p(HGNC:FLT3),"bp(MOA:""Platelet-derived growth factor receptor inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor"")"
CHEMBL1201438,ALDESLEUKIN,Proleukin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438,,"bp(MOA:""Interleukin-2 receptor agonist"")"
CHEMBL2109128,LENOGRASTIM,Granocyte-13; Granocyte-34,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2109128,p(HGNC:CSF3R),"bp(MOA:""Granulocyte colony stimulating factor receptor agonist"")"
CHEMBL1750,CLOFARABINE,Clolar; Evoltra; Ivozall,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1750,p(HGNC:POLA1),"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor""); bp(MOA:""DNA inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")"
CHEMBL3545185,SELINEXOR,Nexpovio; Xpovio,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545185,,"bp(MOA:""Exportin-1 inhibitor"")"
CHEMBL131,PREDNISOLONE,Cortalone; Dekotil; Delta-cortef; Deltacortril; Deltalone; Dilacort; Equisolon; Fernisolone-p; Hydeltra; Meti-derm; Pevanti; Precortisyl; Precortisyl fte; Prednisolone; Prednisolone component of chloroptic-p s.o.p.; Prelone; Scheriproct; Sterane,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL131,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL160,CYCLOSPORINE,Capimune; Capsorin; Cequa; Cyclosporine; Deximune; Gengraf; Ikervis; Neoral; Optimmune; Restasis; Restasis multidose; Sandimmun; Sandimmune; Sangcya; Vanquoral; Verkazia; Vevye,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL160,,"bp(MOA:""Cyclophilin A modulator"")"
CHEMBL1456,MYCOPHENOLATE MOFETIL,Arzip; Cellcept; Myclausen; Mycophenolate mofetil; Mycophenolate mofetil teva; Myfenax; Myhibbin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1456,,"bp(MOA:""Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor"")"
CHEMBL4297573,TAGRAXOFUSP,Elzonris,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297573,,"bp(MOA:""Interleukin-3 receptor subunit alpha binding agent""); bp(MOA:""Elongation factor 2 inhibitor"")"
CHEMBL44657,ETOPOSIDE,Etoposide; Toposar; Vepesid,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL44657,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II inhibitor"")"
CHEMBL1200778,DEXRAZOXANE HYDROCHLORIDE,Dexrazoxane hydrochloride; Savene; Totect; Zinecard,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200778,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II inhibitor""); bp(MOA:""Iron chelating agent"")"
CHEMBL4297534,GLASDEGIB MALEATE,Daurismo,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297534,p(HGNC:SMO),"bp(MOA:""Smoothened homolog antagonist"")"
CHEMBL2402737,IDASANUTLIN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2402737,p(HGNC:TP53),"bp(MOA:""Tumour suppressor p53/oncoprotein Mdm2 inhibitor"")"
CHEMBL1086218,VALSPODAR,Amdray,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1086218,,"bp(MOA:""P-glycoprotein 1 inhibitor"")"
CHEMBL384467,DEXAMETHASONE,Aeroseb-dex; Decaderm; Decadron; Decadron-75; Decaspray; Dexacortal; Dexacortin; Dexacortisyl; Dexafree; Dexamethasone; Dexamethasone component of ciprodex; Dexamethasone component of dexacidin; Dexamethasone component of dexasporin; Dexamethasone component of maxitrol; Dexamethasone component of tobradex; Dexamethasone component of tobradex st; Dexamethasone intensol; Dexamonozon; Dexapos; Dexa-sine; Dexasite; Dexasone; Dexone; Dexone 0.5; Dexone 0.75; Dexone 1.5; Dexone 4; Dexsol; Dextenza; Dexycu kit; Dropodex; Fortecortin; Gppe ear spy; Hemady; Hexadrol; Isopto-dex; Kortico injection; Loverine; Luxazone; Martapan; Maxidex; Maxitrol; Oradexon; Otomize; Ozurdex; Sofradex; Spersadex comp; Tobradex,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL384467,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL501867,VINCRISTINE SULFATE,Leurocristine sulfate; Marqibo kit; Oncovin; Vincasar pfs; Vincrex; Vincristine sulfate; Vincristine sulfate pfs,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL501867,,"bp(MOA:""Tubulin inhibitor"")"
CHEMBL650,METHYLPREDNISOLONE,Medrol; Medrone; Methylprednisolone; Methylprednisolone component of neo-medrol,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL650,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL3833386,GALINPEPIMUT-S,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3833386,,"bp(MOA:""Wilms tumor protein vaccine antigen"")"
CHEMBL803,CYTARABINE,Alexan; Alexan 100; Cytarabine; Cytarabine component of vyxeos; Cytosar; Cytosar-u; Depocyt; Depocyte; Tarabine pfs,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL803,p(HGNC:POLA1),"bp(MOA:""DNA inhibitor""); bp(MOA:""RNA inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")"
CHEMBL1201587,ALEMTUZUMAB,"Campath mabcampath; Campath mabcampath, lemtrada; Lemtrada; Mabcampath",https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201587,,"bp(MOA:""CAMPATH-1 antigen inhibitor"")"
CHEMBL1233528,VOLASERTIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1233528,,"bp(MOA:""Serine/threonine-protein kinase PLK1 inhibitor"")"
CHEMBL1201567,FILGRASTIM,Accofil; Biograstim; Filgrastim hexal; Filgrastim ratiopharm; Gran 300; Gran injection 150; Granix; Grastofil; Neupogen; Neupogen 30; Neupogen 48; Nivestim; Nivestym; Nypozi; Ratiograstim; Releuko; Tevagrastim; Zarxio; Zarzio,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201567,p(HGNC:CSF3R),"bp(MOA:""Granulocyte colony stimulating factor receptor agonist"")"
CHEMBL43,AMSACRINE,Amsidyl,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL43,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II inhibitor"")"
CHEMBL1563,DAUNORUBICIN HYDROCHLORIDE,Cerubidine; Daunorubicin hydrochloride,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1563,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II alpha inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL608533,MIDOSTAURIN,Rydapt,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL608533,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PRKD3); p(HGNC:KDR),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor""); bp(MOA:""Platelet-derived growth factor receptor inhibitor"")"
CHEMBL68117,VOSAROXIN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL68117,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL3301622,GILTERITINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301622,p(HGNC:FLT3); p(HGNC:AXL),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor UFO inhibitor"")"
CHEMBL3989931,ENASIDENIB MESYLATE,Idhifa,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989931,p(HGNC:IDH2),"bp(MOA:""Isocitrate dehydrogenase [NADP], mitochondrial inhibitor"")"
CHEMBL1201565,EPOETIN ALFA,Abseamed; Binocrit; Epoetin alfa hexal; Eprex,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201565,,"bp(MOA:""Erythropoietin receptor agonist"")"
CHEMBL3137309,VENETOCLAX,Venclexta; Venclyxto,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3137309,p(HGNC:BCL2),"bp(MOA:""Apoptosis regulator Bcl-2 inhibitor"")"
CHEMBL2108342,GEMTUZUMAB,Gemtuzumab component of mylotarg,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108342,,"bp(MOA:""Myeloid cell surface antigen CD33 binding agent"")"
CHEMBL1200976,IDARUBICIN HYDROCHLORIDE,Idamycin; Idamycin pfs; Idarubicin hydrochloride; Idarubicin hydrochloride pfs; Zavedos,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200976,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II alpha inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL1200751,MERCAPTOPURINE,Mercaptopurine; Puri-nethol; Purinethol; Purixan; Xaluprine; Xaluprine (previously mercaptopurine nova laboratories),https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200751,,"bp(MOA:""Amidophosphoribosyltransferase inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,Adriamycin; Adriamycin pfs; Adriamycin rdf; Caelyx; Caelyx pegylated liposomal; Celdoxome pegylated liposomal; Doxil; Doxil (liposomal); Doxorubicin hydrochloride; Doxorubicin hydrochloride component of imx-110; Doxorubicin hydrochloride (liposomal); Myocet; Myocet liposomal (previously myocet); Rubex; Zolsketil pegylated liposomal,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL359744,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II alpha inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL467,HYDROXYUREA,Droxia; Hydrea; Hydroxyurea; Siklos; Xromi,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL467,,"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor"")"
CHEMBL1489,AZACITIDINE,Azacitidine; Azacitidine accord; Azacitidine betapharm; Azacitidine celgene; Azacitidine kabi; Azacitidine mylan; Onureg; Vidaza,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1489,p(HGNC:DNMT3A); p(HGNC:DNMT1),"bp(MOA:""DNA (cytosine-5)-methyltransferase 3A inhibitor""); bp(MOA:""DNA (cytosine-5)-methyltransferase 1 inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL3265032,ENTOSPLETINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3265032,,"bp(MOA:""Tyrosine-protein kinase SYK inhibitor"")"
CHEMBL1231160,PEVONEDISTAT,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1231160,,"bp(MOA:""NEDD8 activating enzyme inhibitor"")"
CHEMBL4297610,OLUTASIDENIB,Rezlidhia,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297610,p(HGNC:IDH1),"bp(MOA:""Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor"")"
CHEMBL3678958,RUSERONTINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3678958,p(HGNC:FLT3); p(HGNC:ABL1),"bp(MOA:""Epidermal growth factor receptor erbB1 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase ABL inhibitor"")"
CHEMBL3989971,UPROLESELAN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989971,,"bp(MOA:""Selectin E antagonist"")"
CHEMBL2108811,VISILIZUMAB,Nuvion,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108811,,"bp(MOA:""T-cell surface glycoprotein CD3 epsilon chain inhibitor"")"
CHEMBL1201670,SARGRAMOSTIM,Leukine,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201670,p(HGNC:CSF2RA),"bp(MOA:""Granulocyte-macrophage colony-stimulating factor receptor agonist"")"
CHEMBL635,PREDNISONE,Cortan; Cortancyl; Decortisyl; Delta-dome; Deltasone; Fernisone; Liquid pred; Lodotra; Meticorten; Orasone; Paracort; Prednicen-m; Prednisone; Prednisone intensol; Rayos; Servisone; Sterapred,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL635,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Mitoxantrone hydrochloride; Novantrone,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1417019,p(HGNC:TOP2A),"bp(MOA:""DNA topoisomerase II alpha inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL1201129,DECITABINE,Dacogen; Decitabine; Decitabine component of astx-727; Decitabine component of astx727; Decitabine component of inqovi,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201129,p(HGNC:DNMT3A); p(HGNC:DNMT1),"bp(MOA:""DNA (cytosine-5)-methyltransferase 3A inhibitor""); bp(MOA:""DNA (cytosine-5)-methyltransferase 1 inhibitor""); bp(MOA:""DNA inhibitor"")"
CHEMBL178,DAUNORUBICIN,Daunorubicin component of vyxeos; Daunoxome,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL178,p(HGNC:TOP2A),"bp(MOA:""DNA inhibitor""); bp(MOA:""DNA topoisomerase II alpha inhibitor"")"
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,Mylotarg,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201506,,"bp(MOA:""Myeloid cell surface antigen CD33 binding agent""); bp(MOA:""DNA disrupting agent"")"
CHEMBL1738,DEXRAZOXANE,Cardioxane,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1738,p(HGNC:TOP2A),"bp(MOA:""Iron sequestering agent""); bp(MOA:""DNA topoisomerase II inhibitor"")"
CHEMBL2043437,GLASDEGIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2043437,p(HGNC:SMO),"bp(MOA:""Smoothened homolog antagonist"")"
CHEMBL70,MORPHINE,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL70,,
CHEMBL58,MITOXANTRONE,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL58,,
CHEMBL895,NALBUPHINE,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL895,,
CHEMBL53463,DOXORUBICIN,Adriblastina,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL53463,,
CHEMBL1336,SORAFENIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1336,,
CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201265,,
CHEMBL269732,TACROLIMUS ANHYDROUS,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL269732,,
CHEMBL941,IMATINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL941,,
CHEMBL578,ENALAPRIL,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL578,,
CHEMBL1117,IDARUBICIN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1117,,
CHEMBL90555,VINCRISTINE,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL90555,,
