name,url,associated_proteins,associated_drugs
TP53 Regulates Transcription of DNA Repair Genes,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,,p(HGNC:TP53),
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Caspase Activators and Caspases,,p(HGNC:TP53),
TP53 Regulates Transcription of Death Receptors and Ligands,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,,p(HGNC:TP53),
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,p(HGNC:TP53),
Regulation of TP53 Expression,,p(HGNC:TP53),
Regulation of TP53 Activity through Phosphorylation,,p(HGNC:TP53),
Regulation of TP53 Degradation,,p(HGNC:TP53),
Regulation of TP53 Activity through Acetylation,,p(HGNC:TP53),
Regulation of TP53 Activity through Association with Co-factors,,p(HGNC:TP53),
Regulation of TP53 Activity through Methylation,,p(HGNC:TP53),
PI5P Regulates TP53 Acetylation,,p(HGNC:TP53),
G2/M DNA damage checkpoint,,p(HGNC:TP53),
G2/M Checkpoints,,p(HGNC:TP53),
Stabilization of p53,,p(HGNC:TP53),
Transcriptional activation of cell cycle inhibitor p21,,p(HGNC:TP53),
The role of GTSE1 in G2/M progression after G2 checkpoint,,p(HGNC:TP53),
Transcriptional Regulation by VENTX,,p(HGNC:TP53),
RUNX3 regulates CDKN1A transcription,,p(HGNC:TP53),
Regulation of PTEN gene transcription,,p(HGNC:TP53),
Loss of function of TP53 in cancer due to loss of tetramerization ability,,p(HGNC:TP53),
Signaling by ALK fusions and activated point mutants,,p(HGNC:TP53),
Regulation of NF-kappa B signaling,,p(HGNC:TP53),
Zygotic genome activation (ZGA),,p(HGNC:TP53),
PKR-mediated signaling,,p(HGNC:TP53),
RET signaling,,p(HGNC:RET); p(HGNC:PRKCA),
NPAS4 regulates expression of target genes,,p(HGNC:RET),
Formation of the nephric duct,,p(HGNC:RET),
Formation of the ureteric bud,,p(HGNC:RET),
Other interleukin signaling,,p(HGNC:CSF3R),
Transcriptional regulation of granulopoiesis,,p(HGNC:CSF3R); p(HGNC:RARA),
Signaling by CSF3 (G-CSF),,p(HGNC:CSF3R); p(HGNC:JAK2),
Inactivation of CSF3 (G-CSF) signaling,,p(HGNC:CSF3R); p(HGNC:JAK2),
Activation of BAD and translocation to mitochondria,,p(HGNC:BCL2),
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,p(HGNC:BCL2),
The NLRP1 inflammasome,,p(HGNC:BCL2),
Estrogen-dependent gene expression,,p(HGNC:BCL2),
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,,p(HGNC:BCL2),
NFE2L2 regulating tumorigenic genes,,p(HGNC:BCL2),
Regulation of MITF-M-dependent genes involved in apoptosis,,p(HGNC:BCL2),
Downstream TCR signaling,,p(HGNC:PRKCQ),
"Inactivation, recovery and regulation of the phototransduction cascade",,p(HGNC:PRKCQ); p(HGNC:PRKCA),
FCERI mediated NF-kB activation,,p(HGNC:PRKCQ),
Netrin-1 signaling,,p(HGNC:PRKCQ),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,,p(HGNC:PRKCQ),
RAS processing,,p(HGNC:PRKCQ),
Transcription of E2F targets under negative control by DREAM complex,,p(HGNC:TOP2A),
SUMOylation of DNA replication proteins,,p(HGNC:TOP2A),
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,,p(HGNC:IDH1),
NADPH regeneration,,p(HGNC:IDH1),
Peroxisomal protein import,,p(HGNC:IDH1),
NFE2L2 regulating TCA cycle genes,,p(HGNC:IDH1),
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",,p(HGNC:PDGFRA),
Signaling by PDGFRA extracellular domain mutants,,p(HGNC:PDGFRA),
Imatinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sunitinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Regorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
PDGFR mutants bind TKIs,,p(HGNC:PDGFRA),
"Interleukin-3, Interleukin-5 and GM-CSF signaling",,p(HGNC:CSF2RA); p(HGNC:JAK2),
Surfactant metabolism,,p(HGNC:CSF2RA),
Defective CSF2RB causes SMDP5,,p(HGNC:CSF2RA),
Defective CSF2RA causes SMDP4,,p(HGNC:CSF2RA),
Interleukin receptor SHC signaling,,p(HGNC:CSF2RA); p(HGNC:JAK2),
Interleukin-6 signaling,,p(HGNC:JAK2),
MAPK3 (ERK1) activation,,p(HGNC:JAK2),
MAPK1 (ERK2) activation,,p(HGNC:JAK2),
Prolactin receptor signaling,,p(HGNC:JAK2),
Signaling by SCF-KIT,,p(HGNC:KIT); p(HGNC:JAK2); p(HGNC:PRKCA),
Signaling by Leptin,,p(HGNC:JAK2),
RMTs methylate histone arginines,,p(HGNC:DNMT3A); p(HGNC:JAK2),
RAF activation,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
IL-6-type cytokine receptor ligand interactions,,p(HGNC:JAK2),
Signaling by moderate kinase activity BRAF mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Signaling by BRAF and RAF1 fusions,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Paradoxical activation of RAF signaling by kinase inactive BRAF,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Regulation of IFNG signaling,,p(HGNC:JAK2),
Interleukin-20 family signaling,,p(HGNC:JAK2),
Interleukin-35 Signalling,,p(HGNC:JAK2),
Signaling by Erythropoietin,,p(HGNC:JAK2),
Interleukin-12 signaling,,p(HGNC:JAK2),
Interleukin-23 signaling,,p(HGNC:JAK2),
Interleukin-27 signaling,,p(HGNC:JAK2),
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),,p(HGNC:JAK2),
Erythropoietin activates Phospholipase C gamma (PLCG),,p(HGNC:JAK2),
Erythropoietin activates STAT5,,p(HGNC:JAK2),
Erythropoietin activates RAS,,p(HGNC:JAK2),
Signaling downstream of RAS mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Signaling by RAF1 mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",,p(HGNC:KIT); p(HGNC:JAK2),
Potential therapeutics for SARS,,p(HGNC:JAK2),
IFNG signaling activates MAPKs,,p(HGNC:RAF1); p(HGNC:JAK2),
Growth hormone receptor signaling,,p(HGNC:JAK2),
Class B/2 (Secretin family receptors),,p(HGNC:SMO),
Hedgehog 'off' state,,p(HGNC:SMO),
BBSome-mediated cargo-targeting to cilium,,p(HGNC:SMO),
Hedgehog 'on' state,,p(HGNC:SMO),
Activation of SMO,,p(HGNC:SMO),
Sphingolipid de novo biosynthesis,,p(HGNC:PRKD3),
SUMOylation of intracellular receptors,,p(HGNC:RARA),
TGFBR3 expression,,p(HGNC:RARA),
VEGFA-VEGFR2 Pathway,,p(HGNC:AXL); p(HGNC:KDR),
Transcriptional regulation of testis differentiation,,p(HGNC:WT1),
Nephron development,,p(HGNC:WT1),
Stimuli-sensing channels,,p(HGNC:RAF1),
Rap1 signalling,,p(HGNC:RAF1),
GP1b-IX-V activation signalling,,p(HGNC:RAF1),
CD209 (DC-SIGN) signaling,,p(HGNC:RAF1),
MAP2K and MAPK activation,,p(HGNC:RAF1); p(HGNC:BRAF),
Negative feedback regulation of MAPK pathway,,p(HGNC:RAF1); p(HGNC:BRAF),
Negative regulation of MAPK pathway,,p(HGNC:RAF1); p(HGNC:BRAF),
Signaling by high-kinase activity BRAF mutants,,p(HGNC:RAF1); p(HGNC:BRAF),
SHOC2 M1731 mutant abolishes MRAS complex function,,p(HGNC:RAF1); p(HGNC:BRAF),
Gain-of-function MRAS complexes activate RAF signaling,,p(HGNC:RAF1); p(HGNC:BRAF),
PRC2 methylates histones and DNA,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
NoRC negatively regulates rRNA expression,,p(HGNC:DNMT1),
SUMOylation of DNA methylation proteins,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylation,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
STAT3 nuclear events downstream of ALK signaling,,p(HGNC:DNMT1),
Nuclear events stimulated by ALK signaling in cancer,,p(HGNC:DNMT1),
Regulation of KIT signaling,,p(HGNC:KIT); p(HGNC:PRKCA),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,p(HGNC:KIT),
Dasatinib-resistant KIT mutants,,p(HGNC:KIT),
Imatinib-resistant KIT mutants,,p(HGNC:KIT),
KIT mutants bind TKIs,,p(HGNC:KIT),
Masitinib-resistant KIT mutants,,p(HGNC:KIT),
Nilotinib-resistant KIT mutants,,p(HGNC:KIT),
Regorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by kinase domain mutants of KIT,,p(HGNC:KIT),
Sunitinib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutants,,p(HGNC:KIT),
Sorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by extracellular domain mutants of KIT,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activity,,p(HGNC:KIT),
Disinhibition of SNARE formation,,p(HGNC:PRKCA),
EGFR Transactivation by Gastrin,,p(HGNC:PRKCA),
Syndecan interactions,,p(HGNC:PRKCA),
Acetylcholine regulates insulin secretion,,p(HGNC:PRKCA),
Ca2+ pathway,,p(HGNC:PRKCA),
Trafficking of GluR2-containing AMPA receptors,,p(HGNC:PRKCA),
Depolymerization of the Nuclear Lamina,,p(HGNC:PRKCA),
WNT5A-dependent internalization of FZD4,,p(HGNC:PRKCA),
Response to elevated platelet cytosolic Ca2+,,p(HGNC:PRKCA),
ROBO receptors bind AKAP5,,p(HGNC:PRKCA),
Spry regulation of FGF signaling,,p(HGNC:BRAF),
Frs2-mediated activation,,p(HGNC:BRAF),
ARMS-mediated activation,,p(HGNC:BRAF),
Signalling to p38 via RIT and RIN,,p(HGNC:BRAF),
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),,p(HGNC:DNMT3A),
VEGF binds to VEGFR leading to receptor dimerization,,p(HGNC:KDR); p(HGNC:FLT4),
NOTCH4 Intracellular Domain Regulates Transcription,,p(HGNC:FLT4),
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,,p(HGNC:KDR); p(HGNC:FLT4),
Neurophilin interactions with VEGF and VEGFR,,p(HGNC:KDR),
Integrin cell surface interactions,,p(HGNC:KDR),
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,,p(HGNC:KDR),
Fanconi Anemia Pathwa,,p(HGNC:FANCG); p(HGNC:FANCF); p(HGNC:FANCC); p(HGNC:UBE2T); p(HGNC:FANCA); p(HGNC:FANCB); p(HGNC:FANCE); p(HGNC:ERCC4); p(HGNC:FANCD2); p(HGNC:FANCI); p(HGNC:RPS27A); p(HGNC:FANCL); p(HGNC:SLX4),
PKR-mediated signalin,,p(HGNC:TP53); p(HGNC:FANCG); p(HGNC:FANCF); p(HGNC:FANCC); p(HGNC:FANCA); p(HGNC:FANCB); p(HGNC:FANCE); p(HGNC:NPM1); p(HGNC:FANCL),
PRC2 methylates histones and DN,,p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:EZH2),
RMTs methylate histone arginine,,p(HGNC:DNMT3A); p(HGNC:JAK2),
SUMOylation of DNA methylation protein,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylatio,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
Defective pyroptosi,,p(HGNC:POLA1); p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:POLA2); p(HGNC:PRIM1); p(HGNC:PRIM2); p(HGNC:EZH2),
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs,,p(HGNC:DNMT3A),
Activation of BAD and translocation to mitochondri,,p(HGNC:BCL2),
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member,,p(HGNC:BCL2),
Interleukin-4 and Interleukin-13 signalin,,p(HGNC:TP53); p(HGNC:BCL2); p(HGNC:JAK2),
The NLRP1 inflammasom,,p(HGNC:BCL2),
Estrogen-dependent gene expressio,,p(HGNC:BCL2); p(HGNC:RUNX1); p(HGNC:STAG2); p(HGNC:RAD21),
Estrogen-dependent nuclear events downstream of ESR-membrane signalin,,p(HGNC:BCL2),
NFE2L2 regulating tumorigenic gene,,p(HGNC:BCL2),
Regulation of MITF-M-dependent genes involved in apoptosi,,p(HGNC:BCL2),
Pre-NOTCH Transcription and Translatio,,p(HGNC:TP53); p(HGNC:RUNX1); p(HGNC:PRKCI),
Organic cation transpor,,p(HGNC:RUNX1),
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs,,p(HGNC:RUNX1),
RUNX1 regulates estrogen receptor mediated transcriptio,,p(HGNC:RUNX1),
Regulation of RUNX1 Expression and Activit,,p(HGNC:RUNX1); p(HGNC:PML); p(HGNC:PTPN11),
RUNX1 regulates expression of components of tight junction,,p(HGNC:RUNX1),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet functio,,p(HGNC:PRKCQ); p(HGNC:RUNX1); p(HGNC:KMT2A); p(HGNC:GATA1),
RUNX1 regulates transcription of genes involved in differentiation of HSC,,p(HGNC:ABL1); p(HGNC:RUNX1); p(HGNC:GATA2); p(HGNC:KMT2A); p(HGNC:RPS27A); p(HGNC:GATA1),
RUNX1 regulates transcription of genes involved in differentiation of keratinocyte,,p(HGNC:RUNX1),
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not know,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in BCR signalin,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in differentiation of myeloid cell,,p(HGNC:RUNX1); p(HGNC:PRKCB),
RUNX1 regulates transcription of genes involved in interleukin signalin,,p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in WNT signalin,,p(HGNC:RUNX1),
RUNX2 regulates genes involved in differentiation of myeloid cell,,p(HGNC:RUNX1),
RUNX3 regulates p14-AR,,p(HGNC:RUNX1); p(HGNC:KRAS),
Transcriptional regulation of granulopoiesi,,p(HGNC:CSF3R); p(HGNC:RARA); p(HGNC:RUNX1); p(HGNC:CEBPA); p(HGNC:GATA2); p(HGNC:KMT2A),
SARS-CoV-1 activates/modulates innate immune response,,p(HGNC:RUNX1); p(HGNC:RPS27A),
Transcription of E2F targets under negative control by DREAM comple,,p(HGNC:TOP2A),
SUMOylation of DNA replication protein,,p(HGNC:TOP2A); p(HGNC:NUP98),
Effects of PIP2 hydrolysi,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
G alpha (z) signalling event,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA); p(HGNC:PRKCB); p(HGNC:PRKCG),
Nuclear Receptor transcription pathwa,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
SUMOylation of intracellular receptor,,p(HGNC:RARA),
Signaling by Retinoic Aci,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of anterior HOX genes in hindbrain development during early embryogenesi,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB); p(HGNC:EZH2),
TGFBR3 expressio,,p(HGNC:RARA),
L13a-mediated translational silencing of Ceruloplasmin expressio,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Peptide chain elongatio,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
SRP-dependent cotranslational protein targeting to membran,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Viral mRNA Translatio,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Selenocysteine synthesi,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Major pathway of rRNA processing in the nucleolus and cytoso,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Translation initiation complex formatio,,p(HGNC:RPS29); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS24),
Formation of a pool of free 40S subunit,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
"Formation of the ternary complex, and subsequently, the 43S comple",,p(HGNC:RPS29); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS24),
Ribosomal scanning and start codon recognitio,,p(HGNC:RPS29); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS24),
GTP hydrolysis and joining of the 60S ribosomal subuni,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
Eukaryotic Translation Terminatio,,p(HGNC:RPS29); p(HGNC:RPL35A); p(HGNC:RPL36); p(HGNC:RPL23); p(HGNC:RPL5); p(HGNC:RPL11); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS7); p(HGNC:RPS10); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPL15); p(HGNC:RPL26); p(HGNC:RPS24),
